[bm_deepseek] model=deepseek.v3.2 sample=150 n_gens=24 todo=3600 (done=0)
[bm_deepseek] 50/3600 done, ok=0 err=0 (7.3m)
[bm_deepseek] 100/3600 done, ok=6 err=0 (13.9m)
[bm_deepseek] 150/3600 done, ok=18 err=0 (20.7m)
[bm_deepseek] 200/3600 done, ok=25 err=0 (28.7m)
[bm_deepseek] 250/3600 done, ok=26 err=0 (35.8m)
[bm_deepseek] 300/3600 done, ok=30 err=0 (42.8m)
[bm_deepseek] 350/3600 done, ok=53 err=0 (50.1m)
[bm_deepseek] 400/3600 done, ok=57 err=0 (58.1m)
[bm_deepseek] 450/3600 done, ok=65 err=0 (65.2m)
[bm_deepseek] 500/3600 done, ok=75 err=0 (71.7m)
[bm_deepseek] 550/3600 done, ok=92 err=0 (78.8m)
[bm_deepseek] 600/3600 done, ok=116 err=0 (85.5m)
[bm_deepseek] 650/3600 done, ok=143 err=0 (91.6m)
[bm_deepseek] 700/3600 done, ok=148 err=0 (98.5m)
[bm_deepseek] 750/3600 done, ok=168 err=0 (103.8m)
[bm_deepseek] 800/3600 done, ok=170 err=0 (111.4m)
[bm_deepseek] 850/3600 done, ok=174 err=0 (117.4m)
[bm_deepseek] 900/3600 done, ok=177 err=0 (125.0m)
[bm_deepseek] 950/3600 done, ok=188 err=0 (131.9m)
[bm_deepseek] 1000/3600 done, ok=197 err=0 (138.6m)
[bm_deepseek] 1050/3600 done, ok=200 err=0 (143.8m)
[bm_deepseek] 1100/3600 done, ok=221 err=0 (150.0m)
[bm_deepseek] 1150/3600 done, ok=226 err=0 (157.1m)
[bm_deepseek] 1200/3600 done, ok=227 err=0 (164.7m)
[bm_deepseek] 1250/3600 done, ok=227 err=0 (171.6m)
[bm_deepseek] 1300/3600 done, ok=228 err=0 (178.9m)
[bm_deepseek] 1350/3600 done, ok=243 err=0 (184.5m)
[bm_deepseek] 1400/3600 done, ok=282 err=0 (187.9m)
[bm_deepseek] 1450/3600 done, ok=286 err=0 (195.0m)
[bm_deepseek] 1500/3600 done, ok=299 err=0 (202.1m)
[bm_deepseek] 1550/3600 done, ok=334 err=0 (208.6m)
[bm_deepseek] 1600/3600 done, ok=334 err=0 (216.2m)
[bm_deepseek] 1650/3600 done, ok=372 err=0 (223.5m)
[bm_deepseek] 1700/3600 done, ok=378 err=0 (229.2m)
[bm_deepseek] 1750/3600 done, ok=390 err=0 (236.3m)
[bm_deepseek] 1800/3600 done, ok=397 err=0 (244.1m)
[bm_deepseek] 1850/3600 done, ok=398 err=0 (250.8m)
[bm_deepseek] 1900/3600 done, ok=426 err=0 (257.8m)
[bm_deepseek] 1950/3600 done, ok=432 err=0 (265.6m)
[bm_deepseek] 2000/3600 done, ok=456 err=0 (272.7m)
[bm_deepseek] 2050/3600 done, ok=456 err=0 (279.9m)
[bm_deepseek] 2100/3600 done, ok=458 err=0 (287.7m)
[bm_deepseek] 2150/3600 done, ok=465 err=0 (295.3m)
[bm_deepseek] 2200/3600 done, ok=474 err=0 (302.8m)
[bm_deepseek] 2250/3600 done, ok=488 err=0 (310.4m)
[bm_deepseek] 2300/3600 done, ok=497 err=0 (318.2m)
[bm_deepseek] 2350/3600 done, ok=497 err=0 (327.7m)
[bm_deepseek] 2400/3600 done, ok=519 err=0 (335.1m)
[bm_deepseek] 2450/3600 done, ok=541 err=0 (343.7m)
[bm_deepseek] 2500/3600 done, ok=541 err=0 (350.6m)
[bm_deepseek] 2550/3600 done, ok=545 err=0 (359.7m)
[bm_deepseek] 2600/3600 done, ok=552 err=0 (367.4m)
[bm_deepseek] 2650/3600 done, ok=562 err=0 (375.3m)
[bm_deepseek] 2700/3600 done, ok=563 err=0 (381.5m)
[bm_deepseek] 2750/3600 done, ok=563 err=0 (388.8m)
[bm_deepseek] 2800/3600 done, ok=576 err=0 (395.9m)
[bm_deepseek] 2850/3600 done, ok=584 err=0 (403.6m)
[bm_deepseek] 2900/3600 done, ok=585 err=0 (410.6m)
[bm_deepseek] 2950/3600 done, ok=587 err=0 (418.1m)
[bm_deepseek] 3000/3600 done, ok=587 err=0 (426.2m)
[bm_deepseek] 3050/3600 done, ok=588 err=0 (431.7m)
[bm_deepseek] 3100/3600 done, ok=613 err=0 (438.5m)
[bm_deepseek] 3150/3600 done, ok=613 err=0 (447.0m)
[bm_deepseek] 3200/3600 done, ok=620 err=0 (457.6m)
[bm_deepseek] 3250/3600 done, ok=634 err=0 (466.4m)
[bm_deepseek] 3300/3600 done, ok=635 err=0 (476.3m)
[bm_deepseek] 3350/3600 done, ok=645 err=0 (483.9m)
[bm_deepseek] 3400/3600 done, ok=652 err=0 (491.4m)
[bm_deepseek] 3450/3600 done, ok=670 err=0 (498.7m)
[bm_deepseek] 3500/3600 done, ok=695 err=0 (504.9m)
[bm_deepseek] 3550/3600 done, ok=705 err=0 (512.1m)
[bm_deepseek] 3600/3600 done, ok=706 err=0 (520.0m)
[bm_deepseek] DONE 3600 calls, ok=706 err=0 in 520.0m
