[bm_glm] model=zai.glm-5 sample=150 n_gens=24 todo=3600 (done=0)
[bm_glm] 50/3600 done, ok=3 err=0 (10.1m)
[bm_glm] 100/3600 done, ok=5 err=0 (17.0m)
[bm_glm] 150/3600 done, ok=8 err=0 (23.9m)
[bm_glm] 200/3600 done, ok=11 err=0 (32.3m)
[bm_glm] 250/3600 done, ok=12 err=0 (41.7m)
[bm_glm] 300/3600 done, ok=15 err=0 (52.0m)
[bm_glm] 350/3600 done, ok=23 err=0 (60.4m)
[bm_glm] 400/3600 done, ok=36 err=0 (66.6m)
[bm_glm] 450/3600 done, ok=37 err=0 (75.0m)
[bm_glm] 500/3600 done, ok=56 err=0 (82.5m)
[bm_glm] 550/3600 done, ok=62 err=0 (91.1m)
[bm_glm] 600/3600 done, ok=67 err=0 (99.0m)
[bm_glm] 650/3600 done, ok=83 err=0 (106.6m)
[bm_glm] 700/3600 done, ok=92 err=0 (114.6m)
[bm_glm] 750/3600 done, ok=101 err=0 (122.7m)
[bm_glm] 800/3600 done, ok=108 err=0 (129.6m)
[bm_glm] 850/3600 done, ok=116 err=0 (135.8m)
[bm_glm] 900/3600 done, ok=121 err=0 (143.6m)
[bm_glm] 950/3600 done, ok=124 err=0 (151.0m)
[bm_glm] 1000/3600 done, ok=130 err=0 (158.3m)
[bm_glm] 1050/3600 done, ok=143 err=0 (162.8m)
[bm_glm] 1100/3600 done, ok=155 err=0 (170.6m)
[bm_glm] 1150/3600 done, ok=158 err=0 (180.4m)
[bm_glm] 1200/3600 done, ok=161 err=0 (190.8m)
[bm_glm] 1250/3600 done, ok=162 err=0 (196.7m)
[bm_glm] 1300/3600 done, ok=165 err=0 (204.8m)
[bm_glm] 1350/3600 done, ok=175 err=0 (211.1m)
[bm_glm] 1400/3600 done, ok=198 err=0 (214.4m)
[bm_glm] 1450/3600 done, ok=198 err=0 (220.9m)
[bm_glm] 1500/3600 done, ok=200 err=0 (226.0m)
[bm_glm] 1550/3600 done, ok=214 err=0 (232.8m)
[bm_glm] 1600/3600 done, ok=221 err=0 (240.5m)
[bm_glm] 1650/3600 done, ok=227 err=0 (248.3m)
[bm_glm] 1700/3600 done, ok=234 err=0 (255.0m)
[bm_glm] 1750/3600 done, ok=237 err=0 (263.2m)
[bm_glm] 1800/3600 done, ok=238 err=0 (271.7m)
[bm_glm] 1850/3600 done, ok=240 err=0 (281.4m)
[bm_glm] 1900/3600 done, ok=246 err=0 (291.3m)
[bm_glm] 1950/3600 done, ok=255 err=0 (298.5m)
[bm_glm] 2000/3600 done, ok=269 err=0 (304.3m)
[bm_glm] 2050/3600 done, ok=275 err=0 (311.5m)
[bm_glm] 2100/3600 done, ok=279 err=0 (317.5m)
[bm_glm] 2150/3600 done, ok=283 err=0 (324.9m)
[bm_glm] 2200/3600 done, ok=284 err=0 (332.4m)
[bm_glm] 2250/3600 done, ok=293 err=0 (341.7m)
[bm_glm] 2300/3600 done, ok=293 err=0 (348.8m)
[bm_glm] 2350/3600 done, ok=295 err=0 (356.3m)
[bm_glm] 2400/3600 done, ok=304 err=0 (361.0m)
[bm_glm] 2450/3600 done, ok=314 err=0 (369.2m)
[bm_glm] 2500/3600 done, ok=318 err=0 (376.7m)
[bm_glm] 2550/3600 done, ok=321 err=0 (384.0m)
[bm_glm] 2600/3600 done, ok=324 err=0 (390.6m)
[bm_glm] 2650/3600 done, ok=329 err=0 (396.9m)
[bm_glm] 2700/3600 done, ok=332 err=0 (403.7m)
[bm_glm] 2750/3600 done, ok=335 err=0 (412.7m)
[bm_glm] 2800/3600 done, ok=348 err=0 (420.3m)
[bm_glm] 2850/3600 done, ok=353 err=0 (426.1m)
[bm_glm] 2900/3600 done, ok=354 err=0 (433.4m)
[bm_glm] 2950/3600 done, ok=354 err=0 (441.8m)
[bm_glm] 3000/3600 done, ok=354 err=0 (452.0m)
[bm_glm] 3050/3600 done, ok=366 err=0 (459.5m)
[bm_glm] 3100/3600 done, ok=384 err=0 (473.5m)
[bm_glm] 3150/3600 done, ok=385 err=0 (499.6m)
[bm_glm] 3200/3600 done, ok=391 err=0 (526.4m)
[bm_glm] 3250/3600 done, ok=402 err=0 (561.9m)
[bm_glm] 3300/3600 done, ok=405 err=0 (579.5m)
[bm_glm] 3350/3600 done, ok=413 err=0 (592.3m)
[bm_glm] 3400/3600 done, ok=418 err=0 (607.4m)
[bm_glm] 3450/3600 done, ok=434 err=0 (618.2m)
[bm_glm] 3500/3600 done, ok=443 err=0 (627.2m)
[bm_glm] 3550/3600 done, ok=448 err=0 (645.1m)
[bm_glm] 3600/3600 done, ok=453 err=0 (659.7m)
[bm_glm] DONE 3600 calls, ok=453 err=0 in 659.7m
