[bm_gptoss] model=openai.gpt-oss-120b-1:0 sample=150 n_gens=24 todo=3600 (done=0)
[bm_gptoss] 50/3600 done, ok=1 err=0 (1.5m)
[bm_gptoss] 100/3600 done, ok=8 err=0 (2.5m)
[bm_gptoss] 150/3600 done, ok=11 err=0 (3.6m)
[bm_gptoss] 200/3600 done, ok=13 err=0 (4.7m)
[bm_gptoss] 250/3600 done, ok=13 err=0 (5.6m)
[bm_gptoss] 300/3600 done, ok=25 err=0 (6.7m)
[bm_gptoss] 350/3600 done, ok=43 err=0 (8.0m)
[bm_gptoss] 400/3600 done, ok=62 err=0 (9.1m)
[bm_gptoss] 450/3600 done, ok=64 err=0 (10.2m)
[bm_gptoss] 500/3600 done, ok=86 err=0 (11.3m)
[bm_gptoss] 550/3600 done, ok=101 err=0 (12.3m)
[bm_gptoss] 600/3600 done, ok=106 err=0 (13.3m)
[bm_gptoss] 650/3600 done, ok=128 err=0 (14.2m)
[bm_gptoss] 700/3600 done, ok=134 err=0 (15.2m)
[bm_gptoss] 750/3600 done, ok=137 err=0 (16.0m)
[bm_gptoss] 800/3600 done, ok=142 err=0 (17.1m)
[bm_gptoss] 850/3600 done, ok=148 err=0 (18.2m)
[bm_gptoss] 900/3600 done, ok=156 err=0 (19.2m)
[bm_gptoss] 950/3600 done, ok=160 err=0 (20.2m)
[bm_gptoss] 1000/3600 done, ok=164 err=0 (21.4m)
[bm_gptoss] 1050/3600 done, ok=177 err=0 (22.1m)
[bm_gptoss] 1100/3600 done, ok=201 err=0 (23.3m)
[bm_gptoss] 1150/3600 done, ok=207 err=0 (24.4m)
[bm_gptoss] 1200/3600 done, ok=207 err=0 (25.7m)
[bm_gptoss] 1250/3600 done, ok=207 err=0 (26.8m)
[bm_gptoss] 1300/3600 done, ok=209 err=0 (27.8m)
[bm_gptoss] 1350/3600 done, ok=222 err=0 (28.7m)
[bm_gptoss] 1400/3600 done, ok=259 err=0 (29.2m)
[bm_gptoss] 1450/3600 done, ok=259 err=0 (30.4m)
[bm_gptoss] 1500/3600 done, ok=272 err=0 (31.5m)
[bm_gptoss] 1550/3600 done, ok=285 err=0 (32.4m)
[bm_gptoss] 1600/3600 done, ok=288 err=0 (33.6m)
[bm_gptoss] 1650/3600 done, ok=311 err=0 (34.9m)
[bm_gptoss] 1700/3600 done, ok=311 err=0 (35.9m)
[bm_gptoss] 1750/3600 done, ok=319 err=0 (37.0m)
[bm_gptoss] 1800/3600 done, ok=321 err=0 (38.2m)
[bm_gptoss] 1850/3600 done, ok=325 err=0 (39.4m)
[bm_gptoss] 1900/3600 done, ok=333 err=0 (40.5m)
[bm_gptoss] 1950/3600 done, ok=340 err=0 (41.5m)
[bm_gptoss] 2000/3600 done, ok=358 err=0 (42.5m)
[bm_gptoss] 2050/3600 done, ok=359 err=0 (43.9m)
[bm_gptoss] 2100/3600 done, ok=371 err=0 (44.9m)
[bm_gptoss] 2150/3600 done, ok=380 err=0 (46.0m)
[bm_gptoss] 2200/3600 done, ok=387 err=0 (47.1m)
[bm_gptoss] 2250/3600 done, ok=412 err=0 (48.1m)
[bm_gptoss] 2300/3600 done, ok=415 err=0 (49.1m)
[bm_gptoss] 2350/3600 done, ok=416 err=0 (50.1m)
[bm_gptoss] 2400/3600 done, ok=422 err=0 (51.2m)
[bm_gptoss] 2450/3600 done, ok=433 err=0 (52.4m)
[bm_gptoss] 2500/3600 done, ok=434 err=0 (53.4m)
[bm_gptoss] 2550/3600 done, ok=434 err=0 (54.8m)
[bm_gptoss] 2600/3600 done, ok=435 err=0 (55.8m)
[bm_gptoss] 2650/3600 done, ok=452 err=0 (56.7m)
[bm_gptoss] 2700/3600 done, ok=455 err=0 (57.8m)
[bm_gptoss] 2750/3600 done, ok=460 err=0 (58.9m)
[bm_gptoss] 2800/3600 done, ok=468 err=0 (59.9m)
[bm_gptoss] 2850/3600 done, ok=472 err=0 (61.1m)
[bm_gptoss] 2900/3600 done, ok=478 err=0 (62.2m)
[bm_gptoss] 2950/3600 done, ok=482 err=0 (63.2m)
[bm_gptoss] 3000/3600 done, ok=487 err=0 (64.4m)
[bm_gptoss] 3050/3600 done, ok=497 err=0 (65.1m)
[bm_gptoss] 3100/3600 done, ok=523 err=0 (66.0m)
[bm_gptoss] 3150/3600 done, ok=525 err=0 (66.9m)
[bm_gptoss] 3200/3600 done, ok=529 err=0 (68.0m)
[bm_gptoss] 3250/3600 done, ok=545 err=0 (69.0m)
[bm_gptoss] 3300/3600 done, ok=552 err=0 (70.0m)
[bm_gptoss] 3350/3600 done, ok=571 err=0 (70.8m)
[bm_gptoss] 3400/3600 done, ok=572 err=0 (71.6m)
[bm_gptoss] 3450/3600 done, ok=593 err=0 (72.4m)
[bm_gptoss] 3500/3600 done, ok=621 err=0 (73.2m)
[bm_gptoss] 3550/3600 done, ok=628 err=0 (74.3m)
[bm_gptoss] 3600/3600 done, ok=631 err=0 (75.4m)
[bm_gptoss] DONE 3600 calls, ok=631 err=0 in 75.4m
