[bm_mistral] model=mistral.mistral-large-3-675b-instruct sample=150 n_gens=24 todo=3600 (done=0)
[bm_mistral] 50/3600 done, ok=0 err=0 (2.6m)
[bm_mistral] 100/3600 done, ok=1 err=0 (5.0m)
[bm_mistral] 150/3600 done, ok=5 err=0 (7.2m)
[bm_mistral] 200/3600 done, ok=6 err=0 (9.5m)
[bm_mistral] 250/3600 done, ok=6 err=0 (11.6m)
[bm_mistral] 300/3600 done, ok=8 err=0 (13.7m)
[bm_mistral] 350/3600 done, ok=13 err=0 (16.0m)
[bm_mistral] 400/3600 done, ok=21 err=0 (18.6m)
[bm_mistral] 450/3600 done, ok=21 err=0 (20.6m)
[bm_mistral] 500/3600 done, ok=43 err=0 (22.5m)
[bm_mistral] 550/3600 done, ok=62 err=0 (24.8m)
[bm_mistral] 600/3600 done, ok=69 err=0 (27.2m)
[bm_mistral] 650/3600 done, ok=93 err=0 (29.0m)
[bm_mistral] 700/3600 done, ok=100 err=0 (31.5m)
[bm_mistral] 750/3600 done, ok=114 err=0 (33.9m)
[bm_mistral] 800/3600 done, ok=115 err=0 (36.3m)
[bm_mistral] 850/3600 done, ok=127 err=0 (38.2m)
[bm_mistral] 900/3600 done, ok=131 err=0 (40.6m)
[bm_mistral] 950/3600 done, ok=136 err=0 (42.9m)
[bm_mistral] 1000/3600 done, ok=151 err=0 (45.3m)
[bm_mistral] 1050/3600 done, ok=157 err=0 (48.2m)
[bm_mistral] 1100/3600 done, ok=174 err=0 (50.5m)
[bm_mistral] 1150/3600 done, ok=183 err=0 (52.8m)
[bm_mistral] 1200/3600 done, ok=183 err=0 (55.4m)
[bm_mistral] 1250/3600 done, ok=183 err=0 (57.7m)
[bm_mistral] 1300/3600 done, ok=188 err=0 (60.4m)
[bm_mistral] 1350/3600 done, ok=199 err=0 (62.6m)
[bm_mistral] 1400/3600 done, ok=227 err=0 (64.1m)
[bm_mistral] 1450/3600 done, ok=229 err=0 (66.8m)
[bm_mistral] 1500/3600 done, ok=242 err=0 (69.0m)
[bm_mistral] 1550/3600 done, ok=273 err=0 (71.3m)
[bm_mistral] 1600/3600 done, ok=280 err=0 (73.7m)
[bm_mistral] 1650/3600 done, ok=311 err=0 (75.9m)
[bm_mistral] 1700/3600 done, ok=313 err=0 (77.5m)
[bm_mistral] 1750/3600 done, ok=317 err=0 (79.9m)
[bm_mistral] 1800/3600 done, ok=319 err=0 (82.1m)
[bm_mistral] 1850/3600 done, ok=320 err=0 (84.4m)
[bm_mistral] 1900/3600 done, ok=347 err=0 (86.6m)
[bm_mistral] 1950/3600 done, ok=358 err=0 (88.9m)
[bm_mistral] 2000/3600 done, ok=378 err=0 (91.2m)
[bm_mistral] 2050/3600 done, ok=379 err=0 (93.6m)
[bm_mistral] 2100/3600 done, ok=382 err=0 (97.4m)
[bm_mistral] 2150/3600 done, ok=391 err=0 (99.7m)
[bm_mistral] 2200/3600 done, ok=398 err=0 (102.1m)
[bm_mistral] 2250/3600 done, ok=416 err=0 (104.4m)
[bm_mistral] 2300/3600 done, ok=424 err=0 (106.8m)
[bm_mistral] 2350/3600 done, ok=424 err=0 (109.4m)
[bm_mistral] 2400/3600 done, ok=433 err=0 (111.5m)
[bm_mistral] 2450/3600 done, ok=444 err=0 (114.0m)
[bm_mistral] 2500/3600 done, ok=449 err=0 (116.1m)
[bm_mistral] 2550/3600 done, ok=450 err=0 (118.3m)
[bm_mistral] 2600/3600 done, ok=452 err=0 (120.7m)
[bm_mistral] 2650/3600 done, ok=455 err=0 (122.9m)
[bm_mistral] 2700/3600 done, ok=461 err=0 (125.2m)
[bm_mistral] 2750/3600 done, ok=466 err=0 (127.6m)
[bm_mistral] 2800/3600 done, ok=484 err=0 (129.7m)
[bm_mistral] 2850/3600 done, ok=496 err=0 (132.3m)
[bm_mistral] 2900/3600 done, ok=498 err=0 (134.3m)
[bm_mistral] 2950/3600 done, ok=499 err=0 (136.7m)
[bm_mistral] 3000/3600 done, ok=499 err=0 (139.2m)
[bm_mistral] 3050/3600 done, ok=501 err=0 (140.8m)
[bm_mistral] 3100/3600 done, ok=518 err=0 (143.0m)
[bm_mistral] 3150/3600 done, ok=529 err=0 (145.3m)
[bm_mistral] 3200/3600 done, ok=537 err=0 (147.6m)
[bm_mistral] 3250/3600 done, ok=546 err=0 (149.8m)
[bm_mistral] 3300/3600 done, ok=546 err=0 (152.8m)
[bm_mistral] 3350/3600 done, ok=572 err=0 (155.3m)
[bm_mistral] 3400/3600 done, ok=576 err=0 (157.5m)
[bm_mistral] 3450/3600 done, ok=585 err=0 (159.9m)
[bm_mistral] 3500/3600 done, ok=603 err=0 (162.0m)
[bm_mistral] 3550/3600 done, ok=607 err=0 (164.2m)
[bm_mistral] 3600/3600 done, ok=609 err=0 (167.0m)
[bm_mistral] DONE 3600 calls, ok=609 err=0 in 167.0m
