[bm_qwen] model=qwen.qwen3-vl-235b-a22b sample=150 n_gens=24 todo=3600 (done=0)
[bm_qwen] 50/3600 done, ok=0 err=0 (15.5m)
[bm_qwen] 100/3600 done, ok=0 err=0 (31.3m)
[bm_qwen] 150/3600 done, ok=2 err=0 (45.4m)
[bm_qwen] 200/3600 done, ok=3 err=0 (58.8m)
[bm_qwen] 250/3600 done, ok=3 err=0 (71.8m)
[bm_qwen] 300/3600 done, ok=3 err=0 (86.1m)
[bm_qwen] 350/3600 done, ok=4 err=0 (99.4m)
[bm_qwen] 400/3600 done, ok=6 err=0 (114.7m)
[bm_qwen] 450/3600 done, ok=7 err=0 (129.6m)
[bm_qwen] 500/3600 done, ok=7 err=0 (143.3m)
[bm_qwen] 550/3600 done, ok=8 err=0 (158.6m)
[bm_qwen] 600/3600 done, ok=9 err=0 (173.2m)
[bm_qwen] 650/3600 done, ok=19 err=0 (187.1m)
[bm_qwen] 700/3600 done, ok=21 err=0 (202.0m)
[bm_qwen] 750/3600 done, ok=26 err=0 (214.4m)
[bm_qwen] 800/3600 done, ok=26 err=0 (229.1m)
[bm_qwen] 850/3600 done, ok=28 err=0 (239.9m)
[bm_qwen] 900/3600 done, ok=29 err=0 (254.5m)
[bm_qwen] 950/3600 done, ok=31 err=0 (268.3m)
[bm_qwen] 1000/3600 done, ok=34 err=0 (282.0m)
[bm_qwen] 1050/3600 done, ok=35 err=0 (291.1m)
[bm_qwen] 1100/3600 done, ok=41 err=0 (305.4m)
[bm_qwen] 1150/3600 done, ok=46 err=0 (320.4m)
[bm_qwen] 1200/3600 done, ok=46 err=0 (334.8m)
[bm_qwen] 1250/3600 done, ok=46 err=0 (349.3m)
[bm_qwen] 1300/3600 done, ok=49 err=0 (364.2m)
[bm_qwen] 1350/3600 done, ok=56 err=0 (377.1m)
[bm_qwen] 1400/3600 done, ok=96 err=0 (383.3m)
[bm_qwen] 1450/3600 done, ok=97 err=0 (397.7m)
[bm_qwen] 1500/3600 done, ok=99 err=0 (411.9m)
[bm_qwen] 1550/3600 done, ok=106 err=0 (425.5m)
[bm_qwen] 1600/3600 done, ok=112 err=0 (439.1m)
[bm_qwen] 1650/3600 done, ok=116 err=0 (453.4m)
[bm_qwen] 1700/3600 done, ok=119 err=0 (465.8m)
[bm_qwen] 1750/3600 done, ok=120 err=0 (480.6m)
[bm_qwen] 1800/3600 done, ok=120 err=0 (495.0m)
[bm_qwen] 1850/3600 done, ok=120 err=0 (509.7m)
[bm_qwen] 1900/3600 done, ok=120 err=0 (524.5m)
[bm_qwen] 1950/3600 done, ok=122 err=0 (539.2m)
[bm_qwen] 2000/3600 done, ok=125 err=0 (553.6m)
[bm_qwen] 2050/3600 done, ok=125 err=0 (567.4m)
[bm_qwen] 2100/3600 done, ok=125 err=0 (581.8m)
[bm_qwen] 2150/3600 done, ok=126 err=0 (595.8m)
[bm_qwen] 2200/3600 done, ok=126 err=0 (610.0m)
[bm_qwen] 2250/3600 done, ok=126 err=0 (623.5m)
[bm_qwen] 2300/3600 done, ok=129 err=0 (638.5m)
[bm_qwen] 2350/3600 done, ok=129 err=0 (653.0m)
[bm_qwen] 2400/3600 done, ok=137 err=0 (666.9m)
[bm_qwen] 2450/3600 done, ok=138 err=0 (680.1m)
[bm_qwen] 2500/3600 done, ok=138 err=0 (695.9m)
[bm_qwen] 2550/3600 done, ok=138 err=0 (709.6m)
[bm_qwen] 2600/3600 done, ok=138 err=0 (723.9m)
[bm_qwen] 2650/3600 done, ok=138 err=0 (738.3m)
[bm_qwen] 2700/3600 done, ok=139 err=0 (757.2m)
[bm_qwen] 2750/3600 done, ok=139 err=0 (770.5m)
[bm_qwen] 2800/3600 done, ok=157 err=0 (780.9m)
[bm_qwen] 2850/3600 done, ok=165 err=0 (794.3m)
[bm_qwen] 2900/3600 done, ok=166 err=0 (806.7m)
[bm_qwen] 2950/3600 done, ok=167 err=0 (821.2m)
[bm_qwen] 3000/3600 done, ok=167 err=0 (835.3m)
[bm_qwen] 3050/3600 done, ok=167 err=0 (844.7m)
[bm_qwen] 3100/3600 done, ok=168 err=0 (858.9m)
[bm_qwen] 3150/3600 done, ok=169 err=0 (872.7m)
[bm_qwen] 3200/3600 done, ok=172 err=0 (886.7m)
[bm_qwen] 3250/3600 done, ok=175 err=0 (900.5m)
[bm_qwen] 3300/3600 done, ok=178 err=0 (915.6m)
[bm_qwen] 3350/3600 done, ok=184 err=0 (930.0m)
[bm_qwen] 3400/3600 done, ok=185 err=0 (944.2m)
[bm_qwen] 3450/3600 done, ok=187 err=0 (957.2m)
[bm_qwen] 3500/3600 done, ok=209 err=0 (966.4m)
[bm_qwen] 3550/3600 done, ok=213 err=0 (980.9m)
[bm_qwen] 3600/3600 done, ok=213 err=0 (995.1m)
[bm_qwen] DONE 3600 calls, ok=213 err=0 in 995.1m
