[deepseek_v3p2] model=deepseek.v3.2 sample=586 n_gens=16 todo=9335 (done=41)
[deepseek_v3p2] model=deepseek.v3.2 sample=586 n_gens=16 todo=9331 (done=45)
[deepseek_v3p2] 50/9331 done, ok=0 err=0 (5.4m)
[deepseek_v3p2] 100/9331 done, ok=0 err=0 (16.4m)
[deepseek_v3p2] 150/9331 done, ok=0 err=0 (27.8m)
[deepseek_v3p2] 200/9331 done, ok=0 err=0 (37.0m)
[deepseek_v3p2] 250/9331 done, ok=1 err=0 (43.2m)
[deepseek_v3p2] 300/9331 done, ok=1 err=0 (48.6m)
[deepseek_v3p2] 350/9331 done, ok=1 err=0 (53.4m)
[deepseek_v3p2] 400/9331 done, ok=1 err=0 (58.1m)
[deepseek_v3p2] 450/9331 done, ok=1 err=0 (62.7m)
[deepseek_v3p2] 500/9331 done, ok=3 err=0 (69.9m)
[deepseek_v3p2] 550/9331 done, ok=3 err=0 (82.4m)
[deepseek_v3p2] 600/9331 done, ok=3 err=0 (92.4m)
[deepseek_v3p2] 650/9331 done, ok=3 err=0 (100.1m)
[deepseek_v3p2] 700/9331 done, ok=3 err=0 (106.8m)
[deepseek_v3p2] 750/9331 done, ok=3 err=0 (111.7m)
[deepseek_v3p2] 800/9331 done, ok=3 err=0 (115.6m)
[deepseek_v3p2] 850/9331 done, ok=3 err=0 (119.5m)
[deepseek_v3p2] 900/9331 done, ok=3 err=0 (123.6m)
[deepseek_v3p2] 950/9331 done, ok=3 err=0 (127.8m)
[deepseek_v3p2] 1000/9331 done, ok=3 err=0 (138.6m)
[deepseek_v3p2] 1050/9331 done, ok=3 err=0 (148.4m)
[deepseek_v3p2] 1100/9331 done, ok=3 err=0 (156.8m)
[deepseek_v3p2] 1150/9331 done, ok=3 err=0 (164.8m)
[deepseek_v3p2] 1200/9331 done, ok=3 err=0 (170.1m)
[deepseek_v3p2] 1250/9331 done, ok=3 err=0 (175.1m)
[deepseek_v3p2] 1300/9331 done, ok=4 err=0 (179.8m)
[deepseek_v3p2] 1350/9331 done, ok=4 err=0 (185.7m)
[deepseek_v3p2] 1400/9331 done, ok=4 err=0 (191.0m)
[deepseek_v3p2] 1450/9331 done, ok=4 err=0 (201.1m)
[deepseek_v3p2] 1500/9331 done, ok=6 err=0 (210.1m)
[deepseek_v3p2] 1550/9331 done, ok=6 err=0 (217.8m)
[deepseek_v3p2] 1600/9331 done, ok=6 err=0 (224.3m)
[deepseek_v3p2] 1650/9331 done, ok=6 err=0 (229.5m)
[deepseek_v3p2] 1700/9331 done, ok=6 err=0 (234.9m)
[deepseek_v3p2] 1750/9331 done, ok=6 err=0 (240.7m)
[deepseek_v3p2] 1800/9331 done, ok=6 err=0 (245.9m)
[deepseek_v3p2] 1850/9331 done, ok=6 err=0 (250.5m)
[deepseek_v3p2] 1900/9331 done, ok=6 err=0 (255.6m)
[deepseek_v3p2] 1950/9331 done, ok=6 err=0 (260.5m)
[deepseek_v3p2] 2000/9331 done, ok=6 err=0 (265.0m)
[deepseek_v3p2] 2050/9331 done, ok=6 err=0 (270.1m)
[deepseek_v3p2] 2100/9331 done, ok=6 err=0 (274.4m)
[deepseek_v3p2] 2150/9331 done, ok=6 err=0 (278.7m)
[deepseek_v3p2] 2200/9331 done, ok=6 err=0 (283.3m)
[deepseek_v3p2] 2250/9331 done, ok=6 err=0 (287.1m)
[deepseek_v3p2] 2300/9331 done, ok=6 err=0 (291.4m)
[deepseek_v3p2] model=deepseek.v3.2 sample=586 n_gens=16 todo=6984 (done=2392)
[deepseek_v3p2] 50/6984 done, ok=0 err=0 (4.4m)
[deepseek_v3p2] 100/6984 done, ok=0 err=0 (8.4m)
[deepseek_v3p2] 150/6984 done, ok=0 err=0 (13.2m)
[deepseek_v3p2] 200/6984 done, ok=0 err=0 (18.1m)
[deepseek_v3p2] 250/6984 done, ok=0 err=0 (22.8m)
[deepseek_v3p2] 300/6984 done, ok=0 err=0 (27.4m)
[deepseek_v3p2] 350/6984 done, ok=0 err=0 (31.9m)
[deepseek_v3p2] 400/6984 done, ok=0 err=0 (36.4m)
[deepseek_v3p2] 450/6984 done, ok=0 err=0 (40.7m)
[deepseek_v3p2] 500/6984 done, ok=0 err=0 (45.6m)
[deepseek_v3p2] 550/6984 done, ok=0 err=0 (50.0m)
[deepseek_v3p2] 600/6984 done, ok=0 err=0 (54.9m)
[deepseek_v3p2] 650/6984 done, ok=0 err=0 (59.9m)
[deepseek_v3p2] 700/6984 done, ok=0 err=0 (65.2m)
[deepseek_v3p2] 750/6984 done, ok=0 err=0 (70.6m)
[deepseek_v3p2] 800/6984 done, ok=0 err=0 (76.3m)
[deepseek_v3p2] 850/6984 done, ok=0 err=0 (81.2m)
[deepseek_v3p2] 900/6984 done, ok=0 err=0 (85.4m)
[deepseek_v3p2] 950/6984 done, ok=0 err=0 (89.1m)
[deepseek_v3p2] 1000/6984 done, ok=0 err=0 (93.6m)
[deepseek_v3p2] 1050/6984 done, ok=0 err=0 (98.6m)
[deepseek_v3p2] 1100/6984 done, ok=0 err=0 (103.3m)
[deepseek_v3p2] 1150/6984 done, ok=0 err=0 (108.2m)
[deepseek_v3p2] 1200/6984 done, ok=0 err=0 (112.6m)
[deepseek_v3p2] 1250/6984 done, ok=0 err=0 (117.3m)
[deepseek_v3p2] 1300/6984 done, ok=0 err=0 (121.9m)
[deepseek_v3p2] 1350/6984 done, ok=0 err=0 (126.8m)
[deepseek_v3p2] 1400/6984 done, ok=0 err=0 (131.5m)
[deepseek_v3p2] 1450/6984 done, ok=0 err=0 (135.8m)
[deepseek_v3p2] 1500/6984 done, ok=0 err=0 (139.8m)
[deepseek_v3p2] 1550/6984 done, ok=0 err=0 (144.1m)
[deepseek_v3p2] 1600/6984 done, ok=0 err=0 (149.5m)
[deepseek_v3p2] 1650/6984 done, ok=0 err=0 (153.2m)
[deepseek_v3p2] 1700/6984 done, ok=0 err=0 (158.0m)
[deepseek_v3p2] 1750/6984 done, ok=0 err=0 (163.0m)
[deepseek_v3p2] 1800/6984 done, ok=0 err=0 (168.0m)
[deepseek_v3p2] 1850/6984 done, ok=0 err=0 (172.1m)
[deepseek_v3p2] 1900/6984 done, ok=0 err=0 (176.3m)
[deepseek_v3p2] 1950/6984 done, ok=0 err=0 (180.8m)
[deepseek_v3p2] 2000/6984 done, ok=0 err=0 (185.4m)
[deepseek_v3p2] 2050/6984 done, ok=0 err=0 (189.8m)
[deepseek_v3p2] 2100/6984 done, ok=0 err=0 (194.2m)
[deepseek_v3p2] 2150/6984 done, ok=0 err=0 (199.7m)
[deepseek_v3p2] 2200/6984 done, ok=0 err=0 (203.8m)
[deepseek_v3p2] 2250/6984 done, ok=0 err=0 (208.8m)
[deepseek_v3p2] 2300/6984 done, ok=1 err=0 (213.9m)
[deepseek_v3p2] 2350/6984 done, ok=2 err=0 (218.8m)
[deepseek_v3p2] 2400/6984 done, ok=2 err=0 (222.9m)
[deepseek_v3p2] 2450/6984 done, ok=2 err=0 (227.2m)
[deepseek_v3p2] 2500/6984 done, ok=2 err=0 (231.3m)
[deepseek_v3p2] 2550/6984 done, ok=2 err=0 (237.4m)
[deepseek_v3p2] 2600/6984 done, ok=8 err=0 (243.6m)
[deepseek_v3p2] 2650/6984 done, ok=8 err=0 (247.7m)
[deepseek_v3p2] 2700/6984 done, ok=10 err=0 (251.9m)
[deepseek_v3p2] 2750/6984 done, ok=10 err=0 (256.5m)
[deepseek_v3p2] 2800/6984 done, ok=12 err=0 (262.8m)
[deepseek_v3p2] 2850/6984 done, ok=19 err=0 (268.1m)
[deepseek_v3p2] 2900/6984 done, ok=22 err=0 (272.4m)
[deepseek_v3p2] 2950/6984 done, ok=23 err=0 (277.1m)
[deepseek_v3p2] 3000/6984 done, ok=23 err=0 (280.7m)
[deepseek_v3p2] 3050/6984 done, ok=23 err=0 (285.5m)
[deepseek_v3p2] 3100/6984 done, ok=23 err=0 (290.1m)
[deepseek_v3p2] 3150/6984 done, ok=26 err=0 (294.3m)
[deepseek_v3p2] 3200/6984 done, ok=26 err=0 (299.5m)
[deepseek_v3p2] 3250/6984 done, ok=29 err=0 (304.9m)
[deepseek_v3p2] 3300/6984 done, ok=29 err=0 (308.9m)
[deepseek_v3p2] 3350/6984 done, ok=29 err=0 (314.0m)
[deepseek_v3p2] 3400/6984 done, ok=29 err=0 (318.8m)
[deepseek_v3p2] 3450/6984 done, ok=29 err=0 (322.8m)
[deepseek_v3p2] 3500/6984 done, ok=29 err=0 (328.1m)
[deepseek_v3p2] 3550/6984 done, ok=33 err=0 (333.7m)
[deepseek_v3p2] 3600/6984 done, ok=43 err=0 (338.4m)
[deepseek_v3p2] 3650/6984 done, ok=43 err=0 (344.7m)
[deepseek_v3p2] 3700/6984 done, ok=45 err=0 (350.6m)
[deepseek_v3p2] 3750/6984 done, ok=46 err=0 (355.2m)
[deepseek_v3p2] 3800/6984 done, ok=54 err=0 (358.7m)
[deepseek_v3p2] 3850/6984 done, ok=54 err=0 (362.6m)
[deepseek_v3p2] 3900/6984 done, ok=54 err=0 (367.1m)
[deepseek_v3p2] 3950/6984 done, ok=59 err=0 (371.2m)
[deepseek_v3p2] 4000/6984 done, ok=73 err=0 (375.5m)
