[eq_deepseek] model=deepseek.v3.2 sample=136 n_gens=24 todo=3264 (done=0)
[eq_deepseek] 50/3264 done, ok=0 err=0 (3.4m)
[eq_deepseek] 100/3264 done, ok=1 err=0 (7.1m)
[eq_deepseek] 150/3264 done, ok=1 err=0 (12.0m)
[eq_deepseek] 200/3264 done, ok=1 err=0 (17.6m)
[eq_deepseek] 250/3264 done, ok=6 err=0 (25.1m)
[eq_deepseek] 300/3264 done, ok=12 err=0 (34.5m)
[eq_deepseek] 350/3264 done, ok=15 err=0 (45.9m)
[eq_deepseek] 400/3264 done, ok=15 err=0 (48.2m)
[eq_deepseek] 450/3264 done, ok=15 err=0 (51.6m)
[eq_deepseek] 500/3264 done, ok=15 err=0 (54.8m)
[eq_deepseek] 550/3264 done, ok=15 err=0 (63.1m)
[eq_deepseek] 600/3264 done, ok=17 err=0 (89.4m)
[eq_deepseek] 650/3264 done, ok=21 err=0 (98.3m)
[eq_deepseek] 700/3264 done, ok=37 err=0 (107.3m)
[eq_deepseek] 750/3264 done, ok=40 err=0 (115.8m)
[eq_deepseek] 800/3264 done, ok=40 err=0 (124.3m)
[eq_deepseek] 850/3264 done, ok=40 err=0 (134.5m)
[eq_deepseek] 900/3264 done, ok=40 err=0 (143.2m)
[eq_deepseek] 950/3264 done, ok=40 err=0 (153.7m)
[eq_deepseek] 1000/3264 done, ok=40 err=0 (163.1m)
[eq_deepseek] 1050/3264 done, ok=40 err=0 (172.7m)
[eq_deepseek] 1100/3264 done, ok=42 err=0 (178.6m)
[eq_deepseek] 1150/3264 done, ok=43 err=0 (187.0m)
[eq_deepseek] 1200/3264 done, ok=43 err=0 (193.6m)
[eq_deepseek] 1250/3264 done, ok=45 err=0 (200.2m)
[eq_deepseek] 1300/3264 done, ok=46 err=0 (205.9m)
[eq_deepseek] 1350/3264 done, ok=46 err=0 (209.3m)
[eq_deepseek] 1400/3264 done, ok=47 err=0 (213.9m)
[eq_deepseek] 1450/3264 done, ok=47 err=0 (219.0m)
[eq_deepseek] 1500/3264 done, ok=47 err=0 (224.7m)
[eq_deepseek] 1550/3264 done, ok=47 err=0 (228.1m)
[eq_deepseek] 1600/3264 done, ok=47 err=0 (232.5m)
[eq_deepseek] 1650/3264 done, ok=47 err=0 (238.2m)
[eq_deepseek] 1700/3264 done, ok=47 err=0 (240.9m)
[eq_deepseek] 1750/3264 done, ok=67 err=0 (244.5m)
[eq_deepseek] 1800/3264 done, ok=67 err=0 (248.7m)
[eq_deepseek] 1850/3264 done, ok=67 err=0 (253.8m)
[eq_deepseek] 1900/3264 done, ok=67 err=0 (258.3m)
[eq_deepseek] 1950/3264 done, ok=68 err=0 (262.1m)
[eq_deepseek] 2000/3264 done, ok=68 err=0 (266.0m)
[eq_deepseek] 2050/3264 done, ok=74 err=0 (269.3m)
[eq_deepseek] 2100/3264 done, ok=82 err=0 (271.7m)
[eq_deepseek] 2150/3264 done, ok=83 err=0 (275.0m)
[eq_deepseek] 2200/3264 done, ok=83 err=0 (278.4m)
[eq_deepseek] 2250/3264 done, ok=83 err=0 (280.8m)
[eq_deepseek] 2300/3264 done, ok=91 err=0 (284.3m)
[eq_deepseek] 2350/3264 done, ok=93 err=0 (286.6m)
[eq_deepseek] 2400/3264 done, ok=113 err=0 (290.0m)
[eq_deepseek] 2450/3264 done, ok=113 err=0 (292.1m)
[eq_deepseek] 2500/3264 done, ok=113 err=0 (295.0m)
[eq_deepseek] 2550/3264 done, ok=115 err=0 (297.2m)
[eq_deepseek] 2600/3264 done, ok=115 err=0 (299.6m)
[eq_deepseek] 2650/3264 done, ok=115 err=0 (302.2m)
[eq_deepseek] 2700/3264 done, ok=115 err=0 (305.6m)
[eq_deepseek] 2750/3264 done, ok=117 err=0 (309.0m)
[eq_deepseek] 2800/3264 done, ok=118 err=0 (312.5m)
[eq_deepseek] 2850/3264 done, ok=132 err=0 (316.4m)
[eq_deepseek] 2900/3264 done, ok=138 err=0 (318.5m)
[eq_deepseek] 2950/3264 done, ok=157 err=0 (321.0m)
[eq_deepseek] 3000/3264 done, ok=175 err=0 (325.4m)
[eq_deepseek] 3050/3264 done, ok=186 err=0 (327.9m)
[eq_deepseek] 3100/3264 done, ok=186 err=0 (332.7m)
[eq_deepseek] 3150/3264 done, ok=192 err=0 (336.7m)
[eq_deepseek] 3200/3264 done, ok=209 err=0 (340.7m)
[eq_deepseek] 3250/3264 done, ok=210 err=0 (342.9m)
[eq_deepseek] DONE 3264 calls, ok=211 err=0 in 343.4m
