[eq_gptoss] model=openai.gpt-oss-120b-1:0 sample=136 n_gens=24 todo=3264 (done=0)
[eq_gptoss] 50/3264 done, ok=0 err=0 (3.7m)
[eq_gptoss] 100/3264 done, ok=0 err=0 (6.6m)
[eq_gptoss] 150/3264 done, ok=1 err=0 (10.1m)
[eq_gptoss] 200/3264 done, ok=6 err=0 (15.4m)
[eq_gptoss] 250/3264 done, ok=10 err=0 (21.6m)
[eq_gptoss] 300/3264 done, ok=14 err=0 (22.9m)
[eq_gptoss] 350/3264 done, ok=14 err=0 (27.7m)
[eq_gptoss] 400/3264 done, ok=14 err=0 (29.4m)
[eq_gptoss] 450/3264 done, ok=14 err=0 (33.2m)
[eq_gptoss] 500/3264 done, ok=14 err=0 (37.1m)
[eq_gptoss] 550/3264 done, ok=14 err=0 (42.2m)
[eq_gptoss] 600/3264 done, ok=14 err=0 (47.6m)
[eq_gptoss] 650/3264 done, ok=15 err=0 (53.1m)
[eq_gptoss] 700/3264 done, ok=24 err=0 (57.3m)
[eq_gptoss] 750/3264 done, ok=37 err=0 (61.8m)
[eq_gptoss] 800/3264 done, ok=37 err=0 (67.1m)
[eq_gptoss] 850/3264 done, ok=44 err=0 (70.5m)
[eq_gptoss] 900/3264 done, ok=57 err=0 (72.3m)
[eq_gptoss] 950/3264 done, ok=58 err=0 (76.4m)
[eq_gptoss] 1000/3264 done, ok=72 err=0 (80.5m)
[eq_gptoss] 1050/3264 done, ok=76 err=0 (86.6m)
[eq_gptoss] 1100/3264 done, ok=76 err=0 (91.1m)
[eq_gptoss] 1150/3264 done, ok=76 err=0 (94.6m)
[eq_gptoss] 1200/3264 done, ok=76 err=0 (100.0m)
[eq_gptoss] 1250/3264 done, ok=76 err=0 (105.4m)
[eq_gptoss] 1300/3264 done, ok=76 err=0 (110.3m)
[eq_gptoss] 1350/3264 done, ok=76 err=0 (112.9m)
[eq_gptoss] 1400/3264 done, ok=76 err=0 (116.6m)
[eq_gptoss] 1450/3264 done, ok=76 err=0 (123.0m)
[eq_gptoss] 1500/3264 done, ok=76 err=0 (128.3m)
[eq_gptoss] 1550/3264 done, ok=76 err=0 (130.2m)
[eq_gptoss] 1600/3264 done, ok=76 err=0 (135.7m)
[eq_gptoss] 1650/3264 done, ok=77 err=0 (141.1m)
[eq_gptoss] 1700/3264 done, ok=79 err=0 (143.2m)
[eq_gptoss] 1750/3264 done, ok=84 err=0 (146.8m)
[eq_gptoss] 1800/3264 done, ok=87 err=0 (151.1m)
[eq_gptoss] 1850/3264 done, ok=87 err=0 (157.8m)
[eq_gptoss] 1900/3264 done, ok=87 err=0 (163.8m)
[eq_gptoss] 1950/3264 done, ok=88 err=0 (169.2m)
[eq_gptoss] 2000/3264 done, ok=91 err=0 (170.9m)
[eq_gptoss] 2050/3264 done, ok=97 err=0 (173.4m)
[eq_gptoss] 2100/3264 done, ok=108 err=0 (174.6m)
[eq_gptoss] 2150/3264 done, ok=110 err=0 (177.3m)
[eq_gptoss] 2200/3264 done, ok=110 err=0 (180.2m)
[eq_gptoss] 2250/3264 done, ok=110 err=0 (181.6m)
[eq_gptoss] 2300/3264 done, ok=133 err=0 (185.5m)
[eq_gptoss] 2350/3264 done, ok=147 err=0 (187.4m)
[eq_gptoss] 2400/3264 done, ok=162 err=0 (190.8m)
[eq_gptoss] 2450/3264 done, ok=163 err=0 (192.0m)
[eq_gptoss] 2500/3264 done, ok=169 err=0 (195.3m)
[eq_gptoss] 2550/3264 done, ok=186 err=0 (196.6m)
[eq_gptoss] 2600/3264 done, ok=186 err=0 (197.4m)
[eq_gptoss] 2650/3264 done, ok=186 err=0 (198.6m)
[eq_gptoss] 2700/3264 done, ok=189 err=0 (200.8m)
[eq_gptoss] 2750/3264 done, ok=206 err=0 (203.4m)
[eq_gptoss] 2800/3264 done, ok=217 err=0 (206.7m)
[eq_gptoss] 2850/3264 done, ok=221 err=0 (210.6m)
[eq_gptoss] 2900/3264 done, ok=227 err=0 (211.8m)
[eq_gptoss] 2950/3264 done, ok=247 err=0 (212.6m)
[eq_gptoss] 3000/3264 done, ok=258 err=0 (217.7m)
[eq_gptoss] 3050/3264 done, ok=265 err=0 (219.8m)
[eq_gptoss] 3100/3264 done, ok=274 err=0 (223.6m)
[eq_gptoss] 3150/3264 done, ok=279 err=0 (228.2m)
[eq_gptoss] 3200/3264 done, ok=289 err=0 (230.9m)
[eq_gptoss] 3250/3264 done, ok=295 err=0 (232.4m)
[eq_gptoss] DONE 3264 calls, ok=299 err=0 in 232.9m
