[eq_mistral] model=mistral.mistral-large-3-675b-instruct sample=136 n_gens=24 todo=3264 (done=0)
[eq_mistral] 50/3264 done, ok=0 err=0 (2.5m)
[eq_mistral] 100/3264 done, ok=0 err=0 (3.9m)
[eq_mistral] 150/3264 done, ok=0 err=0 (6.0m)
[eq_mistral] 200/3264 done, ok=0 err=0 (8.2m)
[eq_mistral] 250/3264 done, ok=2 err=0 (10.6m)
[eq_mistral] 300/3264 done, ok=6 err=0 (12.1m)
[eq_mistral] 350/3264 done, ok=6 err=0 (14.2m)
[eq_mistral] 400/3264 done, ok=6 err=0 (15.3m)
[eq_mistral] 450/3264 done, ok=6 err=0 (16.7m)
[eq_mistral] 500/3264 done, ok=6 err=0 (18.6m)
[eq_mistral] 550/3264 done, ok=6 err=0 (20.9m)
[eq_mistral] 600/3264 done, ok=6 err=0 (23.0m)
[eq_mistral] 650/3264 done, ok=6 err=0 (25.4m)
[eq_mistral] 700/3264 done, ok=6 err=0 (27.3m)
[eq_mistral] 750/3264 done, ok=8 err=0 (29.1m)
[eq_mistral] 800/3264 done, ok=8 err=0 (31.1m)
[eq_mistral] 850/3264 done, ok=8 err=0 (32.8m)
[eq_mistral] 900/3264 done, ok=8 err=0 (34.0m)
[eq_mistral] 950/3264 done, ok=8 err=0 (37.3m)
[eq_mistral] 1000/3264 done, ok=8 err=0 (39.7m)
[eq_mistral] 1050/3264 done, ok=8 err=0 (41.8m)
[eq_mistral] 1100/3264 done, ok=8 err=0 (43.5m)
[eq_mistral] 1150/3264 done, ok=8 err=0 (45.4m)
[eq_mistral] 1200/3264 done, ok=8 err=0 (47.3m)
[eq_mistral] 1250/3264 done, ok=11 err=0 (49.7m)
[eq_mistral] 1300/3264 done, ok=11 err=0 (51.5m)
[eq_mistral] 1350/3264 done, ok=11 err=0 (53.1m)
[eq_mistral] 1400/3264 done, ok=17 err=0 (54.8m)
[eq_mistral] 1450/3264 done, ok=17 err=0 (56.4m)
[eq_mistral] 1500/3264 done, ok=17 err=0 (58.3m)
[eq_mistral] 1550/3264 done, ok=17 err=0 (59.4m)
[eq_mistral] 1600/3264 done, ok=17 err=0 (61.2m)
[eq_mistral] 1650/3264 done, ok=17 err=0 (63.0m)
[eq_mistral] 1700/3264 done, ok=18 err=0 (64.4m)
[eq_mistral] 1750/3264 done, ok=38 err=0 (65.6m)
[eq_mistral] 1800/3264 done, ok=38 err=0 (67.2m)
[eq_mistral] 1850/3264 done, ok=38 err=0 (69.5m)
[eq_mistral] 1900/3264 done, ok=38 err=0 (71.7m)
[eq_mistral] 1950/3264 done, ok=38 err=0 (73.4m)
[eq_mistral] 2000/3264 done, ok=39 err=0 (74.8m)
[eq_mistral] 2050/3264 done, ok=41 err=0 (75.8m)
[eq_mistral] 2100/3264 done, ok=52 err=0 (76.7m)
[eq_mistral] 2150/3264 done, ok=52 err=0 (77.8m)
[eq_mistral] 2200/3264 done, ok=52 err=0 (79.2m)
[eq_mistral] 2250/3264 done, ok=52 err=0 (80.3m)
[eq_mistral] 2300/3264 done, ok=59 err=0 (81.8m)
[eq_mistral] 2350/3264 done, ok=59 err=0 (83.0m)
[eq_mistral] 2400/3264 done, ok=77 err=0 (84.4m)
[eq_mistral] 2450/3264 done, ok=77 err=0 (85.5m)
[eq_mistral] 2500/3264 done, ok=79 err=0 (86.9m)
[eq_mistral] 2550/3264 done, ok=83 err=0 (88.1m)
[eq_mistral] 2600/3264 done, ok=83 err=0 (89.0m)
[eq_mistral] 2650/3264 done, ok=83 err=0 (90.1m)
[eq_mistral] 2700/3264 done, ok=83 err=0 (91.3m)
[eq_mistral] 2750/3264 done, ok=100 err=0 (92.6m)
[eq_mistral] 2800/3264 done, ok=103 err=0 (94.0m)
[eq_mistral] 2850/3264 done, ok=121 err=0 (95.7m)
[eq_mistral] 2900/3264 done, ok=126 err=0 (96.6m)
[eq_mistral] 2950/3264 done, ok=142 err=0 (97.5m)
[eq_mistral] 3000/3264 done, ok=146 err=0 (101.5m)
[eq_mistral] 3050/3264 done, ok=147 err=0 (103.4m)
[eq_mistral] 3100/3264 done, ok=148 err=0 (105.4m)
[eq_mistral] 3150/3264 done, ok=157 err=0 (107.4m)
[eq_mistral] 3200/3264 done, ok=164 err=0 (109.5m)
[eq_mistral] 3250/3264 done, ok=165 err=0 (110.5m)
[eq_mistral] DONE 3264 calls, ok=165 err=0 in 110.7m
