[glm5] model=zai.glm-5 sample=586 n_gens=16 todo=9376 (done=0)
[glm5] 50/9376 done, ok=0 err=0 (8.3m)
[glm5] 100/9376 done, ok=0 err=0 (16.8m)
[glm5] 150/9376 done, ok=0 err=0 (22.8m)
[glm5] 200/9376 done, ok=0 err=0 (30.9m)
[glm5] 250/9376 done, ok=0 err=0 (38.8m)
[glm5] 300/9376 done, ok=0 err=0 (47.2m)
[glm5] 350/9376 done, ok=0 err=0 (55.3m)
[glm5] 400/9376 done, ok=0 err=0 (63.8m)
[glm5] 450/9376 done, ok=0 err=0 (69.9m)
[glm5] 500/9376 done, ok=0 err=0 (77.9m)
[glm5] 550/9376 done, ok=1 err=0 (87.6m)
[glm5] 600/9376 done, ok=1 err=0 (94.8m)
[glm5] 650/9376 done, ok=1 err=0 (101.6m)
[glm5] 700/9376 done, ok=1 err=0 (110.5m)
[glm5] 750/9376 done, ok=1 err=0 (120.7m)
[glm5] 800/9376 done, ok=1 err=0 (129.8m)
[glm5] 850/9376 done, ok=1 err=0 (137.5m)
[glm5] 900/9376 done, ok=1 err=0 (145.6m)
[glm5] 950/9376 done, ok=1 err=0 (154.4m)
[glm5] 1000/9376 done, ok=1 err=0 (165.8m)
[glm5] 1050/9376 done, ok=1 err=0 (176.7m)
[glm5] 1100/9376 done, ok=1 err=0 (186.1m)
[glm5] 1150/9376 done, ok=1 err=0 (193.5m)
[glm5] 1200/9376 done, ok=1 err=0 (205.0m)
[glm5] 1250/9376 done, ok=1 err=0 (215.6m)
[glm5] model=zai.glm-5 sample=586 n_gens=16 todo=8112 (done=1264)
[glm5] 50/8112 done, ok=0 err=0 (9.5m)
[glm5] 100/8112 done, ok=0 err=0 (18.7m)
[glm5] 150/8112 done, ok=0 err=0 (28.2m)
[glm5] 200/8112 done, ok=0 err=0 (35.2m)
[glm5] 250/8112 done, ok=0 err=0 (43.1m)
[glm5] 300/8112 done, ok=0 err=0 (53.7m)
[glm5] 350/8112 done, ok=0 err=0 (62.7m)
[glm5] 400/8112 done, ok=0 err=0 (71.7m)
[glm5] 450/8112 done, ok=0 err=0 (80.4m)
[glm5] 500/8112 done, ok=0 err=0 (89.9m)
[glm5] 550/8112 done, ok=0 err=0 (99.8m)
[glm5] 600/8112 done, ok=1 err=0 (107.4m)
[glm5] 650/8112 done, ok=1 err=0 (115.8m)
[glm5] 700/8112 done, ok=1 err=0 (125.3m)
[glm5] 750/8112 done, ok=1 err=0 (131.2m)
[glm5] 800/8112 done, ok=1 err=0 (139.7m)
[glm5] 850/8112 done, ok=1 err=0 (147.8m)
[glm5] 900/8112 done, ok=1 err=0 (156.9m)
[glm5] 950/8112 done, ok=1 err=0 (162.6m)
[glm5] 1000/8112 done, ok=1 err=0 (172.5m)
[glm5] 1050/8112 done, ok=1 err=0 (178.9m)
[glm5] 1100/8112 done, ok=1 err=0 (191.4m)
[glm5] 1150/8112 done, ok=1 err=0 (199.4m)
[glm5] 1200/8112 done, ok=1 err=0 (207.9m)
[glm5] 1250/8112 done, ok=1 err=0 (216.8m)
[glm5] 1300/8112 done, ok=1 err=0 (224.1m)
[glm5] 1350/8112 done, ok=1 err=0 (231.8m)
[glm5] 1400/8112 done, ok=1 err=0 (240.0m)
[glm5] 1450/8112 done, ok=1 err=0 (247.7m)
[glm5] 1500/8112 done, ok=1 err=0 (257.8m)
[glm5] 1550/8112 done, ok=1 err=0 (266.6m)
[glm5] 1600/8112 done, ok=1 err=0 (272.7m)
[glm5] 1650/8112 done, ok=1 err=0 (284.9m)
[glm5] 1700/8112 done, ok=1 err=0 (294.4m)
[glm5] 1750/8112 done, ok=1 err=0 (302.2m)
[glm5] 1800/8112 done, ok=1 err=0 (312.6m)
[glm5] 1850/8112 done, ok=1 err=0 (319.9m)
[glm5] 1900/8112 done, ok=1 err=0 (328.1m)
[glm5] 1950/8112 done, ok=1 err=0 (337.1m)
[glm5] 2000/8112 done, ok=1 err=0 (347.5m)
[glm5] 2050/8112 done, ok=1 err=0 (355.3m)
[glm5] 2100/8112 done, ok=1 err=0 (364.6m)
[glm5] 2150/8112 done, ok=1 err=0 (372.5m)
[glm5] 2200/8112 done, ok=1 err=0 (381.8m)
[glm5] 2250/8112 done, ok=1 err=0 (388.5m)
[glm5] 2300/8112 done, ok=1 err=0 (398.2m)
[glm5] 2350/8112 done, ok=1 err=0 (406.7m)
[glm5] 2400/8112 done, ok=1 err=0 (413.5m)
[glm5] 2450/8112 done, ok=1 err=0 (421.0m)
[glm5] 2500/8112 done, ok=1 err=0 (430.1m)
[glm5] 2550/8112 done, ok=1 err=0 (439.1m)
[glm5] 2600/8112 done, ok=1 err=0 (448.2m)
[glm5] 2650/8112 done, ok=1 err=0 (460.3m)
[glm5] 2700/8112 done, ok=1 err=0 (476.9m)
[glm5] 2750/8112 done, ok=1 err=0 (500.7m)
[glm5] 2800/8112 done, ok=1 err=0 (539.8m)
[glm5] 2850/8112 done, ok=1 err=0 (586.7m)
