[gptoss_120b] model=openai.gpt-oss-120b-1:0 sample=586 n_gens=16 todo=9376 (done=0)
[gptoss_120b] 50/9376 done, ok=0 err=0 (0.9m)
[gptoss_120b] 100/9376 done, ok=0 err=0 (1.8m)
[gptoss_120b] 150/9376 done, ok=0 err=0 (2.5m)
[gptoss_120b] 200/9376 done, ok=0 err=0 (3.3m)
[gptoss_120b] 250/9376 done, ok=0 err=0 (4.1m)
[gptoss_120b] 300/9376 done, ok=0 err=0 (5.0m)
[gptoss_120b] 350/9376 done, ok=0 err=0 (5.7m)
[gptoss_120b] 400/9376 done, ok=0 err=0 (6.6m)
[gptoss_120b] 450/9376 done, ok=0 err=0 (7.4m)
[gptoss_120b] 500/9376 done, ok=0 err=0 (8.1m)
[gptoss_120b] 550/9376 done, ok=0 err=0 (9.1m)
[gptoss_120b] 600/9376 done, ok=0 err=0 (9.9m)
[gptoss_120b] 650/9376 done, ok=0 err=0 (10.6m)
[gptoss_120b] 700/9376 done, ok=0 err=0 (11.3m)
[gptoss_120b] 750/9376 done, ok=0 err=0 (12.1m)
[gptoss_120b] 800/9376 done, ok=0 err=0 (12.9m)
[gptoss_120b] 850/9376 done, ok=0 err=0 (13.6m)
[gptoss_120b] 900/9376 done, ok=0 err=0 (14.5m)
[gptoss_120b] 950/9376 done, ok=1 err=0 (15.3m)
[gptoss_120b] 1000/9376 done, ok=1 err=0 (16.1m)
[gptoss_120b] 1050/9376 done, ok=1 err=0 (17.0m)
[gptoss_120b] 1100/9376 done, ok=1 err=0 (18.0m)
[gptoss_120b] 1150/9376 done, ok=1 err=0 (18.7m)
[gptoss_120b] 1200/9376 done, ok=1 err=0 (19.5m)
[gptoss_120b] 1250/9376 done, ok=1 err=0 (20.3m)
[gptoss_120b] 1300/9376 done, ok=1 err=0 (21.1m)
[gptoss_120b] 1350/9376 done, ok=1 err=0 (21.8m)
[gptoss_120b] 1400/9376 done, ok=1 err=0 (22.7m)
[gptoss_120b] 1450/9376 done, ok=1 err=0 (23.4m)
[gptoss_120b] 1500/9376 done, ok=1 err=0 (24.2m)
[gptoss_120b] 1550/9376 done, ok=1 err=0 (24.9m)
[gptoss_120b] 1600/9376 done, ok=1 err=0 (25.6m)
[gptoss_120b] 1650/9376 done, ok=1 err=0 (26.3m)
[gptoss_120b] 1700/9376 done, ok=1 err=0 (27.2m)
[gptoss_120b] 1750/9376 done, ok=1 err=0 (28.1m)
[gptoss_120b] 1800/9376 done, ok=1 err=0 (28.8m)
[gptoss_120b] 1850/9376 done, ok=1 err=0 (29.6m)
[gptoss_120b] 1900/9376 done, ok=1 err=0 (30.4m)
[gptoss_120b] 1950/9376 done, ok=1 err=0 (31.1m)
[gptoss_120b] 2000/9376 done, ok=1 err=0 (31.9m)
[gptoss_120b] 2050/9376 done, ok=1 err=0 (32.7m)
[gptoss_120b] 2100/9376 done, ok=1 err=0 (33.5m)
[gptoss_120b] 2150/9376 done, ok=1 err=0 (34.4m)
[gptoss_120b] 2200/9376 done, ok=1 err=0 (35.2m)
[gptoss_120b] 2250/9376 done, ok=1 err=0 (36.0m)
[gptoss_120b] 2300/9376 done, ok=1 err=0 (36.8m)
[gptoss_120b] 2350/9376 done, ok=1 err=0 (37.6m)
[gptoss_120b] 2400/9376 done, ok=1 err=0 (38.3m)
[gptoss_120b] 2450/9376 done, ok=1 err=0 (39.0m)
[gptoss_120b] 2500/9376 done, ok=1 err=0 (40.0m)
[gptoss_120b] 2550/9376 done, ok=1 err=0 (40.8m)
[gptoss_120b] 2600/9376 done, ok=1 err=0 (41.4m)
[gptoss_120b] 2650/9376 done, ok=1 err=0 (42.1m)
[gptoss_120b] 2700/9376 done, ok=2 err=0 (42.9m)
[gptoss_120b] 2750/9376 done, ok=2 err=0 (43.6m)
[gptoss_120b] 2800/9376 done, ok=2 err=0 (44.5m)
[gptoss_120b] 2850/9376 done, ok=2 err=0 (45.2m)
[gptoss_120b] 2900/9376 done, ok=2 err=0 (45.9m)
[gptoss_120b] 2950/9376 done, ok=2 err=0 (46.6m)
[gptoss_120b] 3000/9376 done, ok=2 err=0 (47.2m)
[gptoss_120b] 3050/9376 done, ok=2 err=0 (48.2m)
[gptoss_120b] 3100/9376 done, ok=2 err=0 (49.1m)
[gptoss_120b] 3150/9376 done, ok=2 err=0 (50.0m)
[gptoss_120b] 3200/9376 done, ok=2 err=0 (51.0m)
[gptoss_120b] 3250/9376 done, ok=2 err=0 (51.8m)
[gptoss_120b] 3300/9376 done, ok=2 err=0 (52.4m)
[gptoss_120b] 3350/9376 done, ok=2 err=0 (53.1m)
[gptoss_120b] 3400/9376 done, ok=2 err=0 (53.7m)
[gptoss_120b] 3450/9376 done, ok=2 err=0 (54.5m)
[gptoss_120b] 3500/9376 done, ok=2 err=0 (55.5m)
[gptoss_120b] 3550/9376 done, ok=2 err=0 (56.3m)
[gptoss_120b] 3600/9376 done, ok=2 err=0 (57.2m)
[gptoss_120b] 3650/9376 done, ok=2 err=0 (58.0m)
[gptoss_120b] 3700/9376 done, ok=2 err=0 (58.7m)
[gptoss_120b] 3750/9376 done, ok=2 err=0 (59.6m)
[gptoss_120b] 3800/9376 done, ok=2 err=0 (60.2m)
[gptoss_120b] 3850/9376 done, ok=2 err=0 (60.9m)
[gptoss_120b] 3900/9376 done, ok=4 err=0 (61.6m)
[gptoss_120b] 3950/9376 done, ok=4 err=0 (62.5m)
[gptoss_120b] 4000/9376 done, ok=9 err=0 (63.1m)
[gptoss_120b] 4050/9376 done, ok=9 err=0 (63.7m)
[gptoss_120b] 4100/9376 done, ok=9 err=0 (64.5m)
[gptoss_120b] 4150/9376 done, ok=9 err=0 (65.2m)
[gptoss_120b] 4200/9376 done, ok=9 err=0 (66.1m)
[gptoss_120b] 4250/9376 done, ok=9 err=0 (66.8m)
[gptoss_120b] 4300/9376 done, ok=9 err=0 (67.4m)
[gptoss_120b] 4350/9376 done, ok=9 err=0 (68.3m)
[gptoss_120b] 4400/9376 done, ok=9 err=0 (69.0m)
[gptoss_120b] 4450/9376 done, ok=9 err=0 (69.9m)
[gptoss_120b] 4500/9376 done, ok=9 err=0 (70.6m)
[gptoss_120b] 4550/9376 done, ok=9 err=0 (71.4m)
[gptoss_120b] 4600/9376 done, ok=10 err=0 (72.1m)
[gptoss_120b] 4650/9376 done, ok=10 err=0 (72.9m)
[gptoss_120b] 4700/9376 done, ok=10 err=0 (73.6m)
[gptoss_120b] 4750/9376 done, ok=10 err=0 (74.3m)
[gptoss_120b] 4800/9376 done, ok=10 err=0 (75.1m)
[gptoss_120b] 4850/9376 done, ok=10 err=0 (75.9m)
[gptoss_120b] 4900/9376 done, ok=10 err=0 (76.7m)
[gptoss_120b] 4950/9376 done, ok=10 err=0 (77.6m)
[gptoss_120b] 5000/9376 done, ok=21 err=0 (78.2m)
[gptoss_120b] 5050/9376 done, ok=21 err=0 (79.0m)
[gptoss_120b] 5100/9376 done, ok=21 err=0 (79.6m)
[gptoss_120b] 5150/9376 done, ok=21 err=0 (80.4m)
[gptoss_120b] 5200/9376 done, ok=21 err=0 (81.4m)
[gptoss_120b] 5250/9376 done, ok=25 err=0 (82.3m)
[gptoss_120b] 5300/9376 done, ok=38 err=0 (83.0m)
[gptoss_120b] 5350/9376 done, ok=38 err=0 (84.1m)
[gptoss_120b] 5400/9376 done, ok=46 err=0 (84.5m)
[gptoss_120b] 5450/9376 done, ok=46 err=0 (85.4m)
[gptoss_120b] 5500/9376 done, ok=57 err=0 (86.1m)
[gptoss_120b] 5550/9376 done, ok=58 err=0 (86.8m)
[gptoss_120b] 5600/9376 done, ok=58 err=0 (87.6m)
[gptoss_120b] 5650/9376 done, ok=58 err=0 (88.7m)
[gptoss_120b] 5700/9376 done, ok=58 err=0 (89.7m)
[gptoss_120b] 5750/9376 done, ok=60 err=0 (90.7m)
[gptoss_120b] 5800/9376 done, ok=60 err=0 (91.8m)
[gptoss_120b] 5850/9376 done, ok=60 err=0 (92.4m)
[gptoss_120b] 5900/9376 done, ok=60 err=0 (93.3m)
[gptoss_120b] 5950/9376 done, ok=68 err=0 (93.9m)
[gptoss_120b] 6000/9376 done, ok=72 err=0 (94.6m)
[gptoss_120b] 6050/9376 done, ok=72 err=0 (95.5m)
[gptoss_120b] 6100/9376 done, ok=72 err=0 (96.4m)
[gptoss_120b] 6150/9376 done, ok=79 err=0 (97.0m)
[gptoss_120b] 6200/9376 done, ok=88 err=0 (97.5m)
[gptoss_120b] 6250/9376 done, ok=90 err=0 (98.0m)
[gptoss_120b] 6300/9376 done, ok=90 err=0 (98.4m)
[gptoss_120b] 6350/9376 done, ok=105 err=0 (99.3m)
[gptoss_120b] 6400/9376 done, ok=119 err=0 (99.9m)
[gptoss_120b] 6450/9376 done, ok=120 err=0 (100.6m)
[gptoss_120b] 6500/9376 done, ok=136 err=0 (101.0m)
[gptoss_120b] 6550/9376 done, ok=136 err=0 (101.3m)
[gptoss_120b] 6600/9376 done, ok=136 err=0 (101.8m)
[gptoss_120b] 6650/9376 done, ok=150 err=0 (102.3m)
[gptoss_120b] 6700/9376 done, ok=163 err=0 (103.2m)
[gptoss_120b] 6750/9376 done, ok=184 err=0 (103.6m)
[gptoss_120b] 6800/9376 done, ok=194 err=0 (104.3m)
[gptoss_120b] 6850/9376 done, ok=196 err=0 (104.9m)
[gptoss_120b] 6900/9376 done, ok=199 err=0 (106.0m)
[gptoss_120b] 6950/9376 done, ok=203 err=0 (106.6m)
[gptoss_120b] 7000/9376 done, ok=207 err=0 (107.1m)
[gptoss_120b] 7050/9376 done, ok=212 err=0 (108.0m)
[gptoss_120b] 7100/9376 done, ok=218 err=0 (109.4m)
[gptoss_120b] 7150/9376 done, ok=219 err=0 (110.4m)
[gptoss_120b] 7200/9376 done, ok=231 err=0 (111.4m)
[gptoss_120b] 7250/9376 done, ok=245 err=0 (112.6m)
[gptoss_120b] 7300/9376 done, ok=253 err=0 (113.9m)
[gptoss_120b] 7350/9376 done, ok=267 err=0 (115.0m)
[gptoss_120b] 7400/9376 done, ok=278 err=0 (116.1m)
[gptoss_120b] 7450/9376 done, ok=292 err=0 (117.2m)
[gptoss_120b] 7500/9376 done, ok=295 err=0 (118.1m)
[gptoss_120b] 7550/9376 done, ok=303 err=0 (119.2m)
[gptoss_120b] 7600/9376 done, ok=310 err=0 (120.1m)
[gptoss_120b] 7650/9376 done, ok=314 err=0 (121.0m)
[gptoss_120b] 7700/9376 done, ok=331 err=0 (121.9m)
[gptoss_120b] 7750/9376 done, ok=345 err=0 (123.1m)
[gptoss_120b] 7800/9376 done, ok=345 err=0 (124.2m)
[gptoss_120b] 7850/9376 done, ok=347 err=0 (125.1m)
[gptoss_120b] 7900/9376 done, ok=376 err=0 (125.7m)
[gptoss_120b] 7950/9376 done, ok=379 err=0 (126.8m)
[gptoss_120b] 8000/9376 done, ok=392 err=0 (127.7m)
[gptoss_120b] 8050/9376 done, ok=396 err=0 (128.7m)
[gptoss_120b] 8100/9376 done, ok=411 err=0 (129.7m)
[gptoss_120b] 8150/9376 done, ok=420 err=0 (130.5m)
[gptoss_120b] 8200/9376 done, ok=420 err=0 (131.5m)
[gptoss_120b] 8250/9376 done, ok=428 err=0 (132.5m)
[gptoss_120b] 8300/9376 done, ok=445 err=0 (133.4m)
[gptoss_120b] 8350/9376 done, ok=451 err=0 (134.6m)
[gptoss_120b] 8400/9376 done, ok=455 err=0 (135.7m)
[gptoss_120b] 8450/9376 done, ok=467 err=0 (136.6m)
[gptoss_120b] 8500/9376 done, ok=477 err=0 (137.8m)
[gptoss_120b] 8550/9376 done, ok=478 err=0 (138.9m)
[gptoss_120b] 8600/9376 done, ok=487 err=0 (139.9m)
[gptoss_120b] 8650/9376 done, ok=492 err=0 (140.8m)
[gptoss_120b] 8700/9376 done, ok=493 err=0 (141.9m)
[gptoss_120b] 8750/9376 done, ok=503 err=0 (142.9m)
[gptoss_120b] 8800/9376 done, ok=504 err=0 (144.0m)
[gptoss_120b] 8850/9376 done, ok=512 err=0 (145.2m)
[gptoss_120b] 8900/9376 done, ok=514 err=0 (146.4m)
[gptoss_120b] 8950/9376 done, ok=515 err=0 (147.5m)
[gptoss_120b] 9000/9376 done, ok=520 err=0 (148.6m)
[gptoss_120b] 9050/9376 done, ok=541 err=0 (149.6m)
[gptoss_120b] 9100/9376 done, ok=544 err=0 (150.8m)
[gptoss_120b] 9150/9376 done, ok=561 err=0 (151.9m)
[gptoss_120b] 9200/9376 done, ok=568 err=0 (153.1m)
[gptoss_120b] 9250/9376 done, ok=571 err=0 (154.2m)
[gptoss_120b] 9300/9376 done, ok=593 err=0 (155.2m)
[gptoss_120b] 9350/9376 done, ok=610 err=0 (156.1m)
[gptoss_120b] DONE 9376 calls, ok=612 err=0 in 156.8m
