[kimi_k2p5] model=moonshotai.kimi-k2.5 sample=586 n_gens=16 todo=9376 (done=0)
[kimi_k2p5] 50/9376 done, ok=0 err=0 (9.4m)
[kimi_k2p5] 100/9376 done, ok=0 err=0 (16.1m)
[kimi_k2p5] 150/9376 done, ok=0 err=0 (24.2m)
[kimi_k2p5] 200/9376 done, ok=0 err=0 (33.9m)
[kimi_k2p5] 250/9376 done, ok=0 err=0 (41.6m)
[kimi_k2p5] 300/9376 done, ok=0 err=0 (49.7m)
[kimi_k2p5] 350/9376 done, ok=0 err=0 (58.7m)
[kimi_k2p5] 400/9376 done, ok=0 err=0 (67.5m)
[kimi_k2p5] 450/9376 done, ok=0 err=0 (75.8m)
[kimi_k2p5] 500/9376 done, ok=0 err=0 (82.2m)
[kimi_k2p5] 550/9376 done, ok=0 err=0 (88.7m)
[kimi_k2p5] 600/9376 done, ok=0 err=0 (94.6m)
[kimi_k2p5] 650/9376 done, ok=0 err=0 (101.9m)
[kimi_k2p5] 700/9376 done, ok=0 err=0 (110.5m)
[kimi_k2p5] 750/9376 done, ok=0 err=0 (118.2m)
[kimi_k2p5] 800/9376 done, ok=0 err=0 (127.2m)
[kimi_k2p5] 850/9376 done, ok=0 err=0 (135.5m)
[kimi_k2p5] 900/9376 done, ok=0 err=0 (142.4m)
[kimi_k2p5] 950/9376 done, ok=0 err=0 (151.1m)
[kimi_k2p5] 1000/9376 done, ok=1 err=0 (159.6m)
[kimi_k2p5] 1050/9376 done, ok=1 err=0 (167.4m)
[kimi_k2p5] 1100/9376 done, ok=1 err=0 (176.4m)
[kimi_k2p5] 1150/9376 done, ok=1 err=0 (184.1m)
[kimi_k2p5] 1200/9376 done, ok=1 err=0 (193.7m)
[kimi_k2p5] 1250/9376 done, ok=1 err=0 (200.1m)
[kimi_k2p5] 1300/9376 done, ok=1 err=0 (208.2m)
[kimi_k2p5] 1350/9376 done, ok=1 err=0 (216.4m)
[kimi_k2p5] model=moonshotai.kimi-k2.5 sample=586 n_gens=16 todo=8022 (done=1354)
[kimi_k2p5] 50/8022 done, ok=0 err=0 (9.4m)
[kimi_k2p5] 100/8022 done, ok=0 err=0 (15.0m)
[kimi_k2p5] 150/8022 done, ok=0 err=0 (22.7m)
[kimi_k2p5] 200/8022 done, ok=0 err=0 (30.0m)
[kimi_k2p5] 250/8022 done, ok=0 err=0 (37.6m)
[kimi_k2p5] 300/8022 done, ok=0 err=0 (45.7m)
[kimi_k2p5] 350/8022 done, ok=0 err=0 (55.0m)
[kimi_k2p5] 400/8022 done, ok=0 err=0 (63.2m)
[kimi_k2p5] 450/8022 done, ok=0 err=0 (70.8m)
[kimi_k2p5] 500/8022 done, ok=0 err=0 (78.3m)
[kimi_k2p5] 550/8022 done, ok=0 err=0 (86.4m)
[kimi_k2p5] 600/8022 done, ok=0 err=0 (92.6m)
[kimi_k2p5] 650/8022 done, ok=0 err=0 (97.8m)
[kimi_k2p5] 700/8022 done, ok=0 err=0 (104.4m)
[kimi_k2p5] 750/8022 done, ok=0 err=0 (111.6m)
[kimi_k2p5] 800/8022 done, ok=0 err=0 (117.9m)
[kimi_k2p5] 850/8022 done, ok=0 err=0 (125.4m)
[kimi_k2p5] 900/8022 done, ok=0 err=0 (133.7m)
[kimi_k2p5] 950/8022 done, ok=0 err=0 (141.1m)
[kimi_k2p5] 1000/8022 done, ok=0 err=0 (146.7m)
[kimi_k2p5] 1050/8022 done, ok=0 err=0 (155.3m)
[kimi_k2p5] 1100/8022 done, ok=0 err=0 (164.2m)
[kimi_k2p5] 1150/8022 done, ok=0 err=0 (171.6m)
[kimi_k2p5] 1200/8022 done, ok=0 err=0 (178.9m)
[kimi_k2p5] 1250/8022 done, ok=0 err=0 (185.9m)
[kimi_k2p5] 1300/8022 done, ok=0 err=0 (194.2m)
[kimi_k2p5] 1350/8022 done, ok=0 err=0 (203.0m)
[kimi_k2p5] 1400/8022 done, ok=0 err=0 (211.9m)
[kimi_k2p5] 1450/8022 done, ok=0 err=0 (218.4m)
[kimi_k2p5] 1500/8022 done, ok=0 err=0 (225.1m)
[kimi_k2p5] 1550/8022 done, ok=0 err=0 (232.7m)
[kimi_k2p5] 1600/8022 done, ok=0 err=0 (241.5m)
[kimi_k2p5] 1650/8022 done, ok=0 err=0 (251.9m)
[kimi_k2p5] 1700/8022 done, ok=0 err=0 (260.9m)
[kimi_k2p5] 1750/8022 done, ok=0 err=0 (267.1m)
[kimi_k2p5] 1800/8022 done, ok=0 err=0 (275.8m)
[kimi_k2p5] 1850/8022 done, ok=0 err=0 (285.4m)
[kimi_k2p5] 1900/8022 done, ok=0 err=0 (294.6m)
[kimi_k2p5] 1950/8022 done, ok=0 err=0 (302.4m)
[kimi_k2p5] 2000/8022 done, ok=0 err=0 (310.6m)
[kimi_k2p5] 2050/8022 done, ok=0 err=0 (319.8m)
[kimi_k2p5] 2100/8022 done, ok=0 err=0 (328.8m)
[kimi_k2p5] 2150/8022 done, ok=0 err=0 (335.0m)
[kimi_k2p5] 2200/8022 done, ok=0 err=0 (344.2m)
[kimi_k2p5] 2250/8022 done, ok=0 err=0 (352.5m)
[kimi_k2p5] 2300/8022 done, ok=0 err=0 (359.1m)
[kimi_k2p5] 2350/8022 done, ok=0 err=0 (365.6m)
[kimi_k2p5] 2400/8022 done, ok=0 err=0 (374.1m)
[kimi_k2p5] 2450/8022 done, ok=0 err=0 (382.6m)
[kimi_k2p5] 2500/8022 done, ok=0 err=0 (387.9m)
[kimi_k2p5] 2550/8022 done, ok=0 err=0 (393.0m)
[kimi_k2p5] 2600/8022 done, ok=0 err=0 (401.8m)
[kimi_k2p5] 2650/8022 done, ok=0 err=0 (409.8m)
[kimi_k2p5] 2700/8022 done, ok=0 err=0 (415.9m)
[kimi_k2p5] 2750/8022 done, ok=0 err=0 (424.3m)
[kimi_k2p5] 2800/8022 done, ok=0 err=0 (432.3m)
[kimi_k2p5] 2850/8022 done, ok=0 err=0 (438.5m)
[kimi_k2p5] 2900/8022 done, ok=0 err=0 (444.4m)
[kimi_k2p5] 2950/8022 done, ok=0 err=0 (453.5m)
[kimi_k2p5] 3000/8022 done, ok=0 err=0 (462.5m)
[kimi_k2p5] 3050/8022 done, ok=0 err=0 (471.6m)
[kimi_k2p5] 3100/8022 done, ok=0 err=0 (479.2m)
[kimi_k2p5] 3150/8022 done, ok=0 err=0 (488.5m)
[kimi_k2p5] 3200/8022 done, ok=0 err=0 (497.7m)
[kimi_k2p5] 3250/8022 done, ok=0 err=0 (505.4m)
[kimi_k2p5] 3300/8022 done, ok=0 err=0 (517.3m)
[kimi_k2p5] 3350/8022 done, ok=0 err=0 (529.8m)
[kimi_k2p5] 3400/8022 done, ok=0 err=0 (536.5m)
[kimi_k2p5] 3450/8022 done, ok=0 err=0 (542.4m)
[kimi_k2p5] 3500/8022 done, ok=0 err=0 (548.4m)
[kimi_k2p5] 3550/8022 done, ok=0 err=0 (557.0m)
[kimi_k2p5] 3600/8022 done, ok=0 err=0 (567.7m)
[kimi_k2p5] 3650/8022 done, ok=4 err=0 (574.1m)
[kimi_k2p5] 3700/8022 done, ok=4 err=0 (580.2m)
[kimi_k2p5] 3750/8022 done, ok=5 err=0 (585.8m)
[kimi_k2p5] 3800/8022 done, ok=5 err=0 (592.6m)
[kimi_k2p5] 3850/8022 done, ok=5 err=0 (602.1m)
