[mistral_large3] model=mistral.mistral-large-3-675b-instruct sample=586 n_gens=16 todo=9328 (done=48)
[mistral_large3] 50/9328 done, ok=0 err=0 (1.2m)
[mistral_large3] 100/9328 done, ok=0 err=0 (2.4m)
[mistral_large3] 150/9328 done, ok=0 err=0 (3.6m)
[mistral_large3] model=mistral.mistral-large-3-675b-instruct sample=586 n_gens=16 todo=9135 (done=241)
[mistral_large3] 50/9135 done, ok=0 err=0 (1.2m)
[mistral_large3] 100/9135 done, ok=0 err=0 (2.4m)
[mistral_large3] 150/9135 done, ok=0 err=0 (3.7m)
[mistral_large3] 200/9135 done, ok=0 err=0 (4.8m)
[mistral_large3] 250/9135 done, ok=0 err=0 (6.0m)
[mistral_large3] 300/9135 done, ok=0 err=0 (7.4m)
[mistral_large3] 350/9135 done, ok=0 err=0 (8.4m)
[mistral_large3] 400/9135 done, ok=0 err=0 (9.5m)
[mistral_large3] 450/9135 done, ok=0 err=0 (10.7m)
[mistral_large3] 500/9135 done, ok=0 err=0 (11.8m)
[mistral_large3] 550/9135 done, ok=0 err=0 (13.0m)
[mistral_large3] 600/9135 done, ok=0 err=0 (14.1m)
[mistral_large3] 650/9135 done, ok=0 err=0 (15.2m)
[mistral_large3] 700/9135 done, ok=0 err=0 (16.3m)
[mistral_large3] 750/9135 done, ok=0 err=0 (17.5m)
[mistral_large3] 800/9135 done, ok=0 err=0 (18.5m)
[mistral_large3] 850/9135 done, ok=0 err=0 (19.6m)
[mistral_large3] 900/9135 done, ok=0 err=0 (20.7m)
[mistral_large3] 950/9135 done, ok=0 err=0 (21.9m)
[mistral_large3] 1000/9135 done, ok=0 err=0 (23.1m)
[mistral_large3] 1050/9135 done, ok=0 err=0 (24.4m)
[mistral_large3] 1100/9135 done, ok=0 err=0 (25.6m)
[mistral_large3] 1150/9135 done, ok=0 err=0 (26.9m)
[mistral_large3] 1200/9135 done, ok=0 err=0 (28.0m)
[mistral_large3] 1250/9135 done, ok=0 err=0 (29.1m)
[mistral_large3] 1300/9135 done, ok=4 err=0 (30.3m)
[mistral_large3] 1350/9135 done, ok=4 err=0 (31.5m)
[mistral_large3] 1400/9135 done, ok=4 err=0 (32.7m)
[mistral_large3] 1450/9135 done, ok=4 err=0 (33.8m)
[mistral_large3] 1500/9135 done, ok=4 err=0 (35.0m)
[mistral_large3] 1550/9135 done, ok=4 err=0 (36.2m)
[mistral_large3] 1600/9135 done, ok=4 err=0 (37.6m)
[mistral_large3] 1650/9135 done, ok=4 err=0 (38.7m)
[mistral_large3] 1700/9135 done, ok=4 err=0 (40.0m)
[mistral_large3] 1750/9135 done, ok=4 err=0 (41.3m)
[mistral_large3] 1800/9135 done, ok=4 err=0 (42.4m)
[mistral_large3] 1850/9135 done, ok=4 err=0 (44.5m)
[mistral_large3] 1900/9135 done, ok=4 err=0 (46.0m)
[mistral_large3] 1950/9135 done, ok=4 err=0 (47.2m)
[mistral_large3] 2000/9135 done, ok=4 err=0 (48.5m)
[mistral_large3] 2050/9135 done, ok=4 err=0 (49.6m)
[mistral_large3] 2100/9135 done, ok=4 err=0 (50.7m)
[mistral_large3] 2150/9135 done, ok=4 err=0 (51.9m)
[mistral_large3] 2200/9135 done, ok=4 err=0 (53.1m)
[mistral_large3] 2250/9135 done, ok=4 err=0 (54.3m)
[mistral_large3] 2300/9135 done, ok=4 err=0 (55.6m)
[mistral_large3] 2350/9135 done, ok=4 err=0 (56.7m)
[mistral_large3] 2400/9135 done, ok=4 err=0 (57.8m)
[mistral_large3] 2450/9135 done, ok=4 err=0 (59.0m)
[mistral_large3] 2500/9135 done, ok=4 err=0 (60.2m)
[mistral_large3] 2550/9135 done, ok=4 err=0 (61.2m)
[mistral_large3] 2600/9135 done, ok=4 err=0 (62.5m)
[mistral_large3] 2650/9135 done, ok=4 err=0 (63.6m)
[mistral_large3] 2700/9135 done, ok=4 err=0 (64.8m)
[mistral_large3] 2750/9135 done, ok=4 err=0 (66.0m)
[mistral_large3] 2800/9135 done, ok=4 err=0 (67.1m)
[mistral_large3] 2850/9135 done, ok=4 err=0 (68.3m)
[mistral_large3] 2900/9135 done, ok=4 err=0 (69.6m)
[mistral_large3] 2950/9135 done, ok=4 err=0 (70.9m)
[mistral_large3] 3000/9135 done, ok=4 err=0 (72.0m)
[mistral_large3] 3050/9135 done, ok=4 err=0 (73.2m)
[mistral_large3] 3100/9135 done, ok=4 err=0 (74.3m)
[mistral_large3] 3150/9135 done, ok=4 err=0 (75.5m)
[mistral_large3] 3200/9135 done, ok=4 err=0 (76.6m)
[mistral_large3] 3250/9135 done, ok=4 err=0 (77.7m)
[mistral_large3] 3300/9135 done, ok=4 err=0 (78.9m)
[mistral_large3] 3350/9135 done, ok=4 err=0 (80.1m)
[mistral_large3] 3400/9135 done, ok=4 err=0 (81.1m)
[mistral_large3] 3450/9135 done, ok=4 err=0 (82.1m)
[mistral_large3] 3500/9135 done, ok=4 err=0 (83.3m)
[mistral_large3] 3550/9135 done, ok=4 err=0 (84.6m)
[mistral_large3] 3600/9135 done, ok=4 err=0 (85.5m)
[mistral_large3] 3650/9135 done, ok=4 err=0 (86.6m)
[mistral_large3] 3700/9135 done, ok=4 err=0 (87.7m)
[mistral_large3] 3750/9135 done, ok=4 err=0 (88.9m)
[mistral_large3] 3800/9135 done, ok=4 err=0 (89.8m)
[mistral_large3] 3850/9135 done, ok=4 err=0 (91.0m)
[mistral_large3] 3900/9135 done, ok=4 err=0 (92.2m)
[mistral_large3] 3950/9135 done, ok=4 err=0 (93.4m)
[mistral_large3] 4000/9135 done, ok=4 err=0 (94.7m)
[mistral_large3] 4050/9135 done, ok=4 err=0 (95.8m)
[mistral_large3] 4100/9135 done, ok=4 err=0 (96.8m)
[mistral_large3] 4150/9135 done, ok=4 err=0 (98.1m)
[mistral_large3] 4200/9135 done, ok=4 err=0 (99.3m)
[mistral_large3] 4250/9135 done, ok=4 err=0 (100.6m)
