[nemotron_super3_120b] model=nvidia.nemotron-super-3-120b sample=586 n_gens=16 todo=9376 (done=0)
[nemotron_super3_120b] 50/9376 done, ok=0 err=0 (7.3m)
[nemotron_super3_120b] 100/9376 done, ok=0 err=0 (14.5m)
[nemotron_super3_120b] 150/9376 done, ok=0 err=0 (21.7m)
[nemotron_super3_120b] 200/9376 done, ok=0 err=0 (28.8m)
[nemotron_super3_120b] 250/9376 done, ok=0 err=0 (34.4m)
[nemotron_super3_120b] 300/9376 done, ok=0 err=0 (41.4m)
[nemotron_super3_120b] 350/9376 done, ok=0 err=0 (48.3m)
[nemotron_super3_120b] 400/9376 done, ok=0 err=0 (55.0m)
[nemotron_super3_120b] 450/9376 done, ok=0 err=0 (61.8m)
[nemotron_super3_120b] 500/9376 done, ok=0 err=0 (67.4m)
[nemotron_super3_120b] 550/9376 done, ok=0 err=0 (73.5m)
[nemotron_super3_120b] 600/9376 done, ok=0 err=0 (81.1m)
[nemotron_super3_120b] 650/9376 done, ok=0 err=0 (88.6m)
[nemotron_super3_120b] 700/9376 done, ok=0 err=0 (95.3m)
[nemotron_super3_120b] 750/9376 done, ok=0 err=0 (103.1m)
[nemotron_super3_120b] 800/9376 done, ok=0 err=0 (109.6m)
[nemotron_super3_120b] 850/9376 done, ok=0 err=0 (118.0m)
[nemotron_super3_120b] 900/9376 done, ok=0 err=0 (126.7m)
[nemotron_super3_120b] 950/9376 done, ok=0 err=0 (133.5m)
[nemotron_super3_120b] 1000/9376 done, ok=0 err=0 (139.5m)
[nemotron_super3_120b] 1050/9376 done, ok=0 err=0 (146.9m)
[nemotron_super3_120b] 1100/9376 done, ok=0 err=0 (154.4m)
[nemotron_super3_120b] 1150/9376 done, ok=0 err=0 (161.0m)
[nemotron_super3_120b] 1200/9376 done, ok=0 err=0 (168.2m)
[nemotron_super3_120b] 1250/9376 done, ok=0 err=0 (175.2m)
[nemotron_super3_120b] 1300/9376 done, ok=0 err=0 (181.7m)
[nemotron_super3_120b] 1350/9376 done, ok=0 err=0 (189.0m)
[nemotron_super3_120b] 1400/9376 done, ok=0 err=0 (196.3m)
[nemotron_super3_120b] 1450/9376 done, ok=0 err=0 (204.3m)
[nemotron_super3_120b] 1500/9376 done, ok=0 err=0 (212.2m)
[nemotron_super3_120b] model=nvidia.nemotron-super-3-120b sample=586 n_gens=16 todo=7839 (done=1537)
[nemotron_super3_120b] 50/7839 done, ok=0 err=0 (7.1m)
[nemotron_super3_120b] 100/7839 done, ok=0 err=0 (14.1m)
[nemotron_super3_120b] 150/7839 done, ok=0 err=0 (23.1m)
[nemotron_super3_120b] 200/7839 done, ok=0 err=0 (30.3m)
[nemotron_super3_120b] 250/7839 done, ok=0 err=0 (37.7m)
[nemotron_super3_120b] 300/7839 done, ok=0 err=0 (45.0m)
[nemotron_super3_120b] 350/7839 done, ok=0 err=0 (51.7m)
[nemotron_super3_120b] 400/7839 done, ok=0 err=0 (59.9m)
[nemotron_super3_120b] 450/7839 done, ok=0 err=0 (68.1m)
[nemotron_super3_120b] 500/7839 done, ok=0 err=0 (74.9m)
[nemotron_super3_120b] 550/7839 done, ok=0 err=0 (81.8m)
[nemotron_super3_120b] 600/7839 done, ok=0 err=0 (88.0m)
[nemotron_super3_120b] 650/7839 done, ok=0 err=0 (94.0m)
[nemotron_super3_120b] 700/7839 done, ok=0 err=0 (100.7m)
[nemotron_super3_120b] 750/7839 done, ok=0 err=0 (107.2m)
[nemotron_super3_120b] 800/7839 done, ok=0 err=0 (113.8m)
[nemotron_super3_120b] 850/7839 done, ok=0 err=0 (120.9m)
[nemotron_super3_120b] 900/7839 done, ok=0 err=0 (127.4m)
[nemotron_super3_120b] 950/7839 done, ok=0 err=0 (134.6m)
[nemotron_super3_120b] 1000/7839 done, ok=0 err=0 (140.4m)
[nemotron_super3_120b] 1050/7839 done, ok=0 err=0 (147.5m)
[nemotron_super3_120b] 1100/7839 done, ok=0 err=0 (154.1m)
[nemotron_super3_120b] 1150/7839 done, ok=0 err=0 (160.8m)
[nemotron_super3_120b] 1200/7839 done, ok=0 err=0 (168.2m)
[nemotron_super3_120b] 1250/7839 done, ok=0 err=0 (176.3m)
