[qwen3_235b] model=qwen.qwen3-vl-235b-a22b sample=586 n_gens=16 todo=9376 (done=0)
[qwen3_235b] 50/9376 done, ok=0 err=0 (12.2m)
[qwen3_235b] 100/9376 done, ok=0 err=0 (23.9m)
[qwen3_235b] 150/9376 done, ok=0 err=0 (35.6m)
[qwen3_235b] 200/9376 done, ok=0 err=0 (48.6m)
[qwen3_235b] 250/9376 done, ok=0 err=0 (60.7m)
[qwen3_235b] 300/9376 done, ok=0 err=0 (72.9m)
[qwen3_235b] 350/9376 done, ok=0 err=0 (85.6m)
[qwen3_235b] 400/9376 done, ok=0 err=0 (98.8m)
[qwen3_235b] 450/9376 done, ok=0 err=0 (112.0m)
[qwen3_235b] 500/9376 done, ok=0 err=0 (123.2m)
[qwen3_235b] 550/9376 done, ok=1 err=0 (135.0m)
[qwen3_235b] 600/9376 done, ok=1 err=0 (147.1m)
[qwen3_235b] 650/9376 done, ok=1 err=0 (160.9m)
[qwen3_235b] 700/9376 done, ok=1 err=0 (174.0m)
[qwen3_235b] 750/9376 done, ok=1 err=0 (186.8m)
[qwen3_235b] 800/9376 done, ok=1 err=0 (199.0m)
[qwen3_235b] 850/9376 done, ok=1 err=0 (211.2m)
[qwen3_235b] model=qwen.qwen3-vl-235b-a22b sample=586 n_gens=16 todo=8499 (done=877)
[qwen3_235b] 50/8499 done, ok=0 err=0 (13.2m)
[qwen3_235b] 100/8499 done, ok=0 err=0 (24.8m)
[qwen3_235b] 150/8499 done, ok=0 err=0 (36.7m)
[qwen3_235b] 200/8499 done, ok=0 err=0 (49.8m)
[qwen3_235b] 250/8499 done, ok=0 err=0 (61.4m)
[qwen3_235b] 300/8499 done, ok=0 err=0 (73.5m)
[qwen3_235b] 350/8499 done, ok=0 err=0 (85.6m)
[qwen3_235b] 400/8499 done, ok=0 err=0 (98.4m)
[qwen3_235b] 450/8499 done, ok=0 err=0 (110.0m)
[qwen3_235b] 500/8499 done, ok=0 err=0 (123.3m)
[qwen3_235b] 550/8499 done, ok=0 err=0 (135.0m)
[qwen3_235b] 600/8499 done, ok=0 err=0 (146.4m)
[qwen3_235b] 650/8499 done, ok=0 err=0 (158.2m)
[qwen3_235b] 700/8499 done, ok=0 err=0 (171.7m)
[qwen3_235b] 750/8499 done, ok=0 err=0 (184.2m)
[qwen3_235b] 800/8499 done, ok=0 err=0 (195.2m)
[qwen3_235b] 850/8499 done, ok=0 err=0 (206.5m)
[qwen3_235b] 900/8499 done, ok=0 err=0 (219.4m)
[qwen3_235b] 950/8499 done, ok=0 err=0 (232.6m)
[qwen3_235b] 1000/8499 done, ok=0 err=0 (244.0m)
[qwen3_235b] 1050/8499 done, ok=0 err=0 (257.1m)
[qwen3_235b] 1100/8499 done, ok=0 err=0 (270.2m)
[qwen3_235b] 1150/8499 done, ok=0 err=0 (280.7m)
[qwen3_235b] 1200/8499 done, ok=0 err=0 (294.0m)
[qwen3_235b] 1250/8499 done, ok=0 err=0 (307.3m)
[qwen3_235b] 1300/8499 done, ok=0 err=0 (319.7m)
[qwen3_235b] 1350/8499 done, ok=0 err=0 (332.9m)
[qwen3_235b] 1400/8499 done, ok=0 err=0 (344.8m)
[qwen3_235b] 1450/8499 done, ok=0 err=0 (356.9m)
[qwen3_235b] 1500/8499 done, ok=0 err=0 (369.0m)
[qwen3_235b] 1550/8499 done, ok=0 err=0 (382.3m)
[qwen3_235b] 1600/8499 done, ok=0 err=0 (395.2m)
[qwen3_235b] 1650/8499 done, ok=0 err=0 (408.9m)
[qwen3_235b] 1700/8499 done, ok=0 err=0 (421.9m)
[qwen3_235b] 1750/8499 done, ok=0 err=0 (434.3m)
[qwen3_235b] 1800/8499 done, ok=0 err=0 (446.8m)
[qwen3_235b] 1850/8499 done, ok=0 err=0 (460.1m)
[qwen3_235b] 1900/8499 done, ok=0 err=0 (472.2m)
[qwen3_235b] 1950/8499 done, ok=0 err=0 (485.5m)
[qwen3_235b] 2000/8499 done, ok=1 err=0 (498.2m)
[qwen3_235b] 2050/8499 done, ok=1 err=0 (510.4m)
[qwen3_235b] 2100/8499 done, ok=1 err=0 (522.4m)
[qwen3_235b] 2150/8499 done, ok=1 err=0 (534.6m)
[qwen3_235b] 2200/8499 done, ok=1 err=0 (547.7m)
[qwen3_235b] 2250/8499 done, ok=1 err=0 (559.6m)
[qwen3_235b] 2300/8499 done, ok=1 err=0 (571.9m)
[qwen3_235b] 2350/8499 done, ok=1 err=0 (584.1m)
[qwen3_235b] 2400/8499 done, ok=1 err=0 (595.3m)
