[eq_glm] model=zai.glm-5 sample=136 n_gens=24 todo=3264 (done=0)
[eq_glm] 50/3264 done, ok=0 err=0 (6.9m)
[eq_glm] 100/3264 done, ok=13 err=0 (12.4m)
[eq_glm] 150/3264 done, ok=16 err=0 (18.7m)
[eq_glm] 200/3264 done, ok=16 err=0 (26.9m)
[eq_glm] 250/3264 done, ok=17 err=0 (35.1m)
[eq_glm] 300/3264 done, ok=20 err=0 (42.0m)
[eq_glm] 350/3264 done, ok=20 err=0 (49.9m)
[eq_glm] 400/3264 done, ok=20 err=0 (53.1m)
[eq_glm] 450/3264 done, ok=20 err=0 (57.8m)
[eq_glm] 500/3264 done, ok=20 err=0 (62.7m)
[eq_glm] 550/3264 done, ok=20 err=0 (70.3m)
[eq_glm] 600/3264 done, ok=20 err=0 (78.5m)
[eq_glm] 650/3264 done, ok=21 err=0 (87.0m)
[eq_glm] 700/3264 done, ok=26 err=0 (92.9m)
[eq_glm] 750/3264 done, ok=30 err=0 (98.5m)
[eq_glm] 800/3264 done, ok=33 err=0 (107.1m)
[eq_glm] 850/3264 done, ok=33 err=0 (114.5m)
[eq_glm] 900/3264 done, ok=36 err=0 (118.2m)
[eq_glm] 950/3264 done, ok=36 err=0 (125.0m)
[eq_glm] 1000/3264 done, ok=37 err=0 (132.2m)
[eq_glm] 1050/3264 done, ok=39 err=0 (141.2m)
[eq_glm] 1100/3264 done, ok=46 err=0 (147.7m)
[eq_glm] 1150/3264 done, ok=46 err=0 (154.6m)
[eq_glm] 1200/3264 done, ok=46 err=0 (163.2m)
[eq_glm] 1250/3264 done, ok=47 err=0 (173.7m)
[eq_glm] 1300/3264 done, ok=47 err=0 (181.8m)
[eq_glm] 1350/3264 done, ok=47 err=0 (187.0m)
[eq_glm] 1400/3264 done, ok=47 err=0 (194.6m)
[eq_glm] 1450/3264 done, ok=47 err=0 (203.0m)
[eq_glm] 1500/3264 done, ok=47 err=0 (211.5m)
[eq_glm] 1550/3264 done, ok=47 err=0 (216.0m)
[eq_glm] 1600/3264 done, ok=47 err=0 (222.9m)
[eq_glm] 1650/3264 done, ok=47 err=0 (229.3m)
[eq_glm] 1700/3264 done, ok=51 err=0 (234.8m)
[eq_glm] 1750/3264 done, ok=60 err=0 (239.8m)
[eq_glm] 1800/3264 done, ok=63 err=0 (246.2m)
[eq_glm] 1850/3264 done, ok=63 err=0 (254.1m)
[eq_glm] 1900/3264 done, ok=64 err=0 (261.4m)
[eq_glm] 1950/3264 done, ok=65 err=0 (267.7m)
[eq_glm] 2000/3264 done, ok=67 err=0 (273.0m)
[eq_glm] 2050/3264 done, ok=74 err=0 (277.0m)
[eq_glm] 2100/3264 done, ok=92 err=0 (280.3m)
[eq_glm] 2150/3264 done, ok=93 err=0 (284.3m)
[eq_glm] 2200/3264 done, ok=93 err=0 (289.8m)
[eq_glm] 2250/3264 done, ok=93 err=0 (294.5m)
[eq_glm] 2300/3264 done, ok=103 err=0 (299.7m)
[eq_glm] 2350/3264 done, ok=109 err=0 (303.8m)
[eq_glm] 2400/3264 done, ok=126 err=0 (308.9m)
[eq_glm] 2450/3264 done, ok=126 err=0 (312.5m)
[eq_glm] 2500/3264 done, ok=131 err=0 (318.4m)
[eq_glm] 2550/3264 done, ok=139 err=0 (321.6m)
[eq_glm] 2600/3264 done, ok=139 err=0 (326.1m)
[eq_glm] 2650/3264 done, ok=139 err=0 (330.5m)
[eq_glm] 2700/3264 done, ok=139 err=0 (335.2m)
[eq_glm] 2750/3264 done, ok=151 err=0 (339.5m)
[eq_glm] 2800/3264 done, ok=158 err=0 (345.6m)
[eq_glm] 2850/3264 done, ok=163 err=0 (351.8m)
[eq_glm] 2900/3264 done, ok=172 err=0 (354.3m)
[eq_glm] 2950/3264 done, ok=193 err=0 (356.8m)
[eq_glm] 3000/3264 done, ok=206 err=0 (364.6m)
[eq_glm] 3050/3264 done, ok=208 err=0 (367.5m)
[eq_glm] 3100/3264 done, ok=210 err=0 (376.4m)
[eq_glm] 3150/3264 done, ok=219 err=0 (384.9m)
[eq_glm] 3200/3264 done, ok=228 err=0 (388.7m)
[eq_glm] 3250/3264 done, ok=231 err=0 (391.3m)
[eq_glm] DONE 3264 calls, ok=236 err=0 in 391.9m
