[eq_qwen] model=qwen.qwen3-vl-235b-a22b sample=136 n_gens=24 todo=3264 (done=0)
[eq_qwen] 50/3264 done, ok=0 err=0 (12.3m)
[eq_qwen] 100/3264 done, ok=15 err=0 (22.4m)
[eq_qwen] 150/3264 done, ok=15 err=0 (34.6m)
[eq_qwen] 200/3264 done, ok=15 err=0 (49.3m)
[eq_qwen] 250/3264 done, ok=15 err=0 (62.7m)
[eq_qwen] 300/3264 done, ok=15 err=0 (69.1m)
[eq_qwen] 350/3264 done, ok=15 err=0 (80.8m)
[eq_qwen] 400/3264 done, ok=15 err=0 (85.6m)
[eq_qwen] 450/3264 done, ok=15 err=0 (98.3m)
[eq_qwen] 500/3264 done, ok=15 err=0 (108.5m)
[eq_qwen] 550/3264 done, ok=16 err=0 (119.8m)
[eq_qwen] 600/3264 done, ok=16 err=0 (133.1m)
[eq_qwen] 650/3264 done, ok=18 err=0 (146.0m)
[eq_qwen] 700/3264 done, ok=22 err=0 (153.8m)
[eq_qwen] 750/3264 done, ok=22 err=0 (164.4m)
[eq_qwen] 800/3264 done, ok=22 err=0 (176.8m)
[eq_qwen] 850/3264 done, ok=22 err=0 (188.2m)
[eq_qwen] 900/3264 done, ok=22 err=0 (194.1m)
[eq_qwen] 950/3264 done, ok=22 err=0 (204.3m)
[eq_qwen] 1000/3264 done, ok=22 err=0 (215.3m)
[eq_qwen] 1050/3264 done, ok=22 err=0 (226.9m)
[eq_qwen] 1100/3264 done, ok=28 err=0 (234.6m)
[eq_qwen] 1150/3264 done, ok=29 err=0 (243.6m)
[eq_qwen] 1200/3264 done, ok=29 err=0 (255.9m)
[eq_qwen] 1250/3264 done, ok=29 err=0 (269.1m)
[eq_qwen] 1300/3264 done, ok=29 err=0 (281.4m)
[eq_qwen] 1350/3264 done, ok=29 err=0 (289.6m)
[eq_qwen] 1400/3264 done, ok=34 err=0 (303.1m)
[eq_qwen] 1450/3264 done, ok=34 err=0 (316.5m)
[eq_qwen] 1500/3264 done, ok=34 err=0 (329.9m)
[eq_qwen] 1550/3264 done, ok=34 err=0 (336.7m)
[eq_qwen] 1600/3264 done, ok=34 err=0 (348.6m)
[eq_qwen] 1650/3264 done, ok=35 err=0 (361.8m)
[eq_qwen] 1700/3264 done, ok=37 err=0 (367.4m)
[eq_qwen] 1750/3264 done, ok=41 err=0 (374.3m)
[eq_qwen] 1800/3264 done, ok=41 err=0 (385.3m)
[eq_qwen] 1850/3264 done, ok=41 err=0 (397.8m)
[eq_qwen] 1900/3264 done, ok=41 err=0 (409.1m)
[eq_qwen] 1950/3264 done, ok=41 err=0 (420.7m)
[eq_qwen] 2000/3264 done, ok=42 err=0 (427.9m)
[eq_qwen] 2050/3264 done, ok=46 err=0 (437.9m)
[eq_qwen] 2100/3264 done, ok=63 err=0 (443.0m)
[eq_qwen] 2150/3264 done, ok=63 err=0 (451.3m)
[eq_qwen] 2200/3264 done, ok=63 err=0 (461.4m)
[eq_qwen] 2250/3264 done, ok=63 err=0 (466.9m)
[eq_qwen] 2300/3264 done, ok=71 err=0 (478.1m)
[eq_qwen] 2350/3264 done, ok=71 err=0 (486.8m)
[eq_qwen] 2400/3264 done, ok=77 err=0 (496.5m)
[eq_qwen] 2450/3264 done, ok=77 err=0 (503.3m)
[eq_qwen] 2500/3264 done, ok=80 err=0 (512.9m)
[eq_qwen] 2550/3264 done, ok=89 err=0 (519.3m)
[eq_qwen] 2600/3264 done, ok=89 err=0 (526.1m)
[eq_qwen] 2650/3264 done, ok=89 err=0 (533.0m)
[eq_qwen] 2700/3264 done, ok=90 err=0 (540.2m)
[eq_qwen] 2750/3264 done, ok=99 err=0 (545.7m)
[eq_qwen] 2800/3264 done, ok=101 err=0 (554.0m)
[eq_qwen] 2850/3264 done, ok=102 err=0 (562.9m)
[eq_qwen] 2900/3264 done, ok=102 err=0 (565.3m)
[eq_qwen] 2950/3264 done, ok=126 err=0 (569.5m)
[eq_qwen] 3000/3264 done, ok=130 err=0 (582.9m)
[eq_qwen] 3050/3264 done, ok=131 err=0 (589.3m)
[eq_qwen] 3100/3264 done, ok=133 err=0 (600.4m)
[eq_qwen] 3150/3264 done, ok=142 err=0 (612.4m)
[eq_qwen] 3200/3264 done, ok=160 err=0 (621.6m)
[eq_qwen] 3250/3264 done, ok=160 err=0 (626.0m)
[eq_qwen] DONE 3264 calls, ok=160 err=0 in 628.7m
